                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  167892543 |  169702427 |  171544838 |  172366501
  Cycles                             |   61309600 |   61309600 |   61309600 |   61309600
  IPC                                |       2.74 |       2.77 |       2.80 |       2.81
  Time (ns)                          |   15327400 |   15327400 |   15327400 |   15327400
  Idle time (ns)                     |        376 |     252082 |     252919 |     253512
  Idle time (%)                      |       0.0% |       1.6% |       1.7% |       1.7%
Branch predictor stats               |            |            |            |           
  num correct                        |     984142 |    1822133 |   20540273 |   20814396
  num incorrect                      |      14474 |       7158 |       5290 |       5174
  misprediction rate                 |      1.45% |      0.39% |      0.03% |      0.02%
  mpki                               |       0.09 |       0.04 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   15905291 |   15734468 |   10542634 |   10542636
    num misses                       |        344 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   77303760 |   77232528 |   61366117 |   61502850
    num misses                       |       4926 |       2258 |       6072 |       2300
    miss rate                        |      0.01% |      0.00% |      0.01% |      0.00%
    mpki                             |       0.03 |       0.01 |       0.04 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |       5270 |       2296 |       6110 |       2338
    num misses                       |        584 |        154 |        133 |        138
    miss rate                        |     11.08% |      6.71% |      2.18% |      5.90%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   15905291 |   15734468 |   10542634 |   10542636
    num cache misses                 |      82042 |      57936 |      57566 |      57450
    miss rate                        |      0.52% |      0.37% |      0.55% |      0.54%
    mpki                             |       0.49 |       0.34 |       0.34 |       0.33
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   77303760 |   77232528 |   61366117 |   61502850
    num cache misses                 |    1149473 |    1102867 |     758070 |     747771
    miss rate                        |      1.49% |      1.43% |      1.24% |      1.22%
    mpki                             |       6.85 |       6.50 |       4.42 |       4.34
  Cache L2                           |            |            |            |           
    num cache accesses               |    1258875 |    1194934 |     837218 |     828507
    num cache misses                 |      88883 |      69461 |      57012 |      61865
    miss rate                        |      7.06% |      5.81% |      6.81% |      7.47%
    mpki                             |       0.53 |       0.41 |       0.33 |       0.36
  Cache L3                           |            |            |            |           
    num cache accesses               |     130170 |     129060 |     106025 |     102652
    num cache misses                 |      39201 |      51144 |      36876 |      33077
    miss rate                        |     30.12% |     39.63% |     34.78% |     32.22%
    mpki                             |       0.23 |       0.30 |       0.21 |       0.19
DRAM summary                         |            |            |            |           
  num dram accesses                  |       8888 |          0 |       8862 |          0
  average dram access latency (ns)   |      68.65 |        inf |      68.97 |        inf
  average dram queueing delay        |       7.39 |       0.00 |       7.72 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6808 |         44 |          4 |         19
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |      23404 |      48634 |      29995 |      27611
