                                     | Core 0     | Core 1    
  Instructions                       |  115004810 |  118106416
  Cycles                             |   51627600 |   51627600
  IPC                                |       2.23 |       2.29
  Time (ns)                          |   12906900 |   12906900
  Idle time (ns)                     |        541 |     249364
  Idle time (%)                      |       0.0% |       1.9%
Branch predictor stats               |            |           
  num correct                        |    3239962 |    4603032
  num incorrect                      |      32860 |      24541
  misprediction rate                 |      1.00% |      0.53%
  mpki                               |       0.29 |       0.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   10561997 |   10319571
    num misses                       |        232 |         33
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   49578692 |   49567240
    num misses                       |      35904 |       9837
    miss rate                        |      0.07% |      0.02%
    mpki                             |       0.31 |       0.08
  L2 TLB                             |            |           
    num accesses                     |      36136 |       9870
    num misses                       |        669 |        168
    miss rate                        |      1.85% |      1.70%
    mpki                             |       0.01 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   10561997 |   10319571
    num cache misses                 |      70190 |      48651
    miss rate                        |      0.66% |      0.47%
    mpki                             |       0.61 |       0.41
  Cache L1-D                         |            |           
    num cache accesses               |   49578692 |   49567240
    num cache misses                 |    2546756 |    2482385
    miss rate                        |      5.14% |      5.01%
    mpki                             |      22.14 |      21.02
  Cache L2                           |            |           
    num cache accesses               |    2672966 |    2581686
    num cache misses                 |      96369 |      91907
    miss rate                        |      3.61% |      3.56%
    mpki                             |       0.84 |       0.78
  Cache L3                           |            |           
    num cache accesses               |     183385 |     170078
    num cache misses                 |      14096 |       3247
    miss rate                        |      7.69% |      1.91%
    mpki                             |       0.12 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |      17303 |          0
  average dram access latency (ns)   |      82.65 |        inf
  average dram queueing delay        |      21.40 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6828 |         42
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
