                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
    mpki                             |      15.59 |      75.81 |       0.33 |       0.41 |       0.39 |       0.03 |       0.04 |       0.04 |       0.25 |       0.24 |       0.25 |       1.48
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     558544 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     558449 |          0 |          0 |          0
  average dram access latency (ns)   |      61.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.31 |        inf |        inf |        inf
  average dram queueing delay        |       0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.06 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      71504 |     203540 |      78825 |      33083 |      30691 |       2435 |       2601 |       2584 |        560 |        474 |        398 |       4894
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2608 |          1 |       1684 |        327 |        359 |        269 |        275 |        286 |      59739 |      55992 |      57789 |        359
