                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
    miss rate                        |     70.65% |     79.67% |     52.11% |     63.48% |     41.82% |     66.04% |     78.74% |     58.28% |     89.94% |     93.37% |     23.53% |     66.53%
    mpki                             |       1.45 |       3.70 |       0.17 |       0.17 |       0.18 |       0.26 |       0.23 |       0.23 |       0.26 |       0.47 |       0.12 |       0.28
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     348992 |          0 |          0 |          0 |     349028 |          0 |          0 |          0 |     349023 |          0 |          0 |          0
  average dram access latency (ns)   |      61.30 |        inf |        inf |        inf |      61.26 |        inf |        inf |        inf |      61.26 |        inf |        inf |        inf
  average dram queueing delay        |       0.05 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      72750 |     241264 |       6887 |       1689 |       2152 |      33740 |      13802 |      33803 |       6838 |      10099 |        495 |      25650
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      18965 |       8790 |      14829 |      16998 |      23263 |      11284 |      21404 |        965 |      28928 |       8371 |       1358 |      15351
