                                     | Core 0     | Core 1    
  Instructions                       |   48577620 |   10757863
  Cycles                             |   39631200 |   39631200
  IPC                                |       1.23 |       0.27
  Time (ns)                          |    9907800 |    9907800
  Idle time (ns)                     |       1188 |    6940319
  Idle time (%)                      |       0.0% |      70.0%
Branch predictor stats               |            |           
  num correct                        |    5322195 |    2439662
  num incorrect                      |     443612 |     113349
  misprediction rate                 |      7.69% |      4.44%
  mpki                               |       9.13 |      10.54
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    6108193 |    1031665
    num misses                       |        177 |         29
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12159819 |    3411786
    num misses                       |      37962 |      36124
    miss rate                        |      0.31% |      1.06%
    mpki                             |       0.78 |       3.36
  L2 TLB                             |            |           
    num accesses                     |      38139 |      36153
    num misses                       |        987 |        478
    miss rate                        |      2.59% |      1.32%
    mpki                             |       0.02 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    6108193 |    1031665
    num cache misses                 |       3409 |        283
    miss rate                        |      0.06% |      0.03%
    mpki                             |       0.07 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |   12159819 |    3411786
    num cache misses                 |     194830 |     161859
    miss rate                        |      1.60% |      4.74%
    mpki                             |       4.01 |      15.05
  Cache L2                           |            |           
    num cache accesses               |     202724 |     168223
    num cache misses                 |     136234 |     114254
    miss rate                        |     67.20% |     67.92%
    mpki                             |       2.80 |      10.62
  Cache L3                           |            |           
    num cache accesses               |     140912 |     120436
    num cache misses                 |     130021 |     111399
    miss rate                        |     92.27% |     92.50%
    mpki                             |       2.68 |      10.36
DRAM summary                         |            |           
  num dram accesses                  |      19487 |      19433
  average dram access latency (ns)   |      61.34 |      61.33
  average dram queueing delay        |       0.09 |       0.08
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10704 |        224
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       4423 |       8882
