                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696258 |    4394760 |   84090216 |   84314371 |  171984280 |   84061924 |   93119125 |   94664147 |  103616445 |  102527418 |  358335026 |  385722468 |  362738347 |  338487665 |    4568390
  Cycles                             |  319817510 |  319817510 |  319817510 |  319817510 |  242620180 |  242620180 |  242620180 |  242620180 |  319817510 |  319817510 |  319817510 |  319817510 |  242620180 |  242620180 |  242620180
  IPC                                |       0.03 |       0.01 |       0.26 |       0.26 |       0.71 |       0.35 |       0.38 |       0.39 |       0.32 |       0.32 |       1.12 |       1.21 |       1.50 |       1.40 |       0.02
  Time (ns)                          |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900 |  110281900
  Idle time (ns)                     |  107304412 |  108174221 |   60667482 |   60530073 |   11641105 |   60898009 |   93500660 |   93210951 |   94379339 |   94554851 |    8124406 |    7860867 |    7675324 |    8299993 |  108618607
  Idle time (%)                      |      97.3% |      98.1% |      55.0% |      54.9% |      10.6% |      55.2% |      84.8% |      84.5% |      85.6% |      85.7% |       7.4% |       7.1% |       7.0% |       7.5% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279296 |     172929 |    4227093 |    4237547 |    8658548 |    4224594 |     146241 |     147499 |     158236 |     153009 |   42917971 |   45912224 |   43115035 |   40797953 |     467851
  num incorrect                      |       7692 |        728 |        639 |        629 |       1472 |        621 |       2740 |       2740 |       2823 |       2640 |    2125218 |    1947194 |    1946058 |    2099222 |       8309
  misprediction rate                 |      0.60% |      0.42% |      0.02% |      0.01% |      0.02% |      0.01% |      1.84% |      1.82% |      1.75% |      1.70% |      4.72% |      4.07% |      4.32% |      4.89% |      1.75%
