                                     | Core 0     | Core 1    
  Instructions                       |   24865156 |    6058655
  Cycles                             |   19669500 |   19669500
  IPC                                |       1.26 |       0.31
  Time (ns)                          |    6556500 |    6556500
  Idle time (ns)                     |       1446 |    4323864
  Idle time (%)                      |       0.0% |      65.9%
Branch predictor stats               |            |           
  num correct                        |    3132344 |    1389511
  num incorrect                      |     201007 |      66780
  misprediction rate                 |      6.03% |      4.59%
  mpki                               |       8.08 |      11.02
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    2904223 |     573212
    num misses                       |        177 |         29
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6206259 |    1863774
    num misses                       |       4318 |       2982
    miss rate                        |      0.07% |      0.16%
    mpki                             |       0.17 |       0.49
  L2 TLB                             |            |           
    num accesses                     |       4495 |       3011
    num misses                       |        724 |        262
    miss rate                        |     16.11% |      8.70%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2904223 |     573212
    num cache misses                 |       3525 |        313
    miss rate                        |      0.12% |      0.05%
    mpki                             |       0.14 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    6206259 |    1863774
    num cache misses                 |     100245 |      74724
    miss rate                        |      1.62% |      4.01%
    mpki                             |       4.03 |      12.33
  Cache L2                           |            |           
    num cache accesses               |     105763 |      75043
    num cache misses                 |      78369 |      58079
    miss rate                        |     74.10% |     77.39%
    mpki                             |       3.15 |       9.59
  Cache L3                           |            |           
    num cache accesses               |      80467 |      58124
    num cache misses                 |      22518 |       4121
    miss rate                        |     27.98% |      7.09%
    mpki                             |       0.91 |       0.68
DRAM summary                         |            |           
  num dram accesses                  |      26616 |          0
  average dram access latency (ns)   |      61.52 |        inf
  average dram queueing delay        |       0.27 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11815 |       2006
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
