                                     | Core 0     | Core 1    
  Instructions                       |  306675236 |  144763009
  Cycles                             |  270948450 |  270948450
  IPC                                |       1.13 |       0.53
  Time (ns)                          |   93430500 |   93430500
  Idle time (ns)                     |    8672386 |   60255045
  Idle time (%)                      |       9.3% |      64.5%
Branch predictor stats               |            |           
  num correct                        |   27937179 |   17393108
  num incorrect                      |       8699 |         77
  misprediction rate                 |      0.03% |      0.00%
  mpki                               |       0.03 |       0.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   37798708 |        236
    num misses                       |        116 |         16
    miss rate                        |      0.00% |      6.78%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   44552681 |   25474685
    num misses                       |   24751820 |    8303815
    miss rate                        |     55.56% |     32.60%
    mpki                             |      80.71 |      57.36
  L2 TLB                             |            |           
    num accesses                     |   24751936 |    8303831
    num misses                       |   23057577 |    7787795
    miss rate                        |     93.15% |     93.79%
    mpki                             |      75.19 |      53.80
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   37798708 |        236
    num cache misses                 |       3596 |         96
    miss rate                        |      0.01% |     40.68%
    mpki                             |       0.01 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |   44552681 |   25474685
    num cache misses                 |   25448448 |    8363234
    miss rate                        |     57.12% |     32.83%
    mpki                             |      82.98 |      57.77
  Cache L2                           |            |           
    num cache accesses               |   30559089 |   13715988
    num cache misses                 |   24224523 |    8019308
    miss rate                        |     79.27% |     58.47%
    mpki                             |      78.99 |      55.40
  Cache L3                           |            |           
    num cache accesses               |   29331573 |   13371966
    num cache misses                 |   15822328 |    5352878
    miss rate                        |     53.94% |     40.03%
    mpki                             |      51.59 |      36.98
DRAM summary                         |            |           
  num dram accesses                  |   11885122 |   11817189
  average dram access latency (ns)   |      61.54 |      61.54
  average dram queueing delay        |       0.29 |       0.29
  average dram bandwidth utilization |     15.00% |     15.00%
Coherency Traffic                    |            |           
  num loads from dram                |   13205502 |    3213176
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |    2089436 |    2139574
