                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696175 |    4394874 |   84090214 |   84063003 |   84315628 |  171983972 |  100648972 |   99850137 |   92815662 |  100610672 |  370783223 |  380633574 |  349748128 |  344121719 |    4598016
  Cycles                             |  243771220 |  243771220 |  321334790 |  321334790 |  321334790 |  243771220 |  321334790 |  243771220 |  243771220 |  321334790 |  321334790 |  321334790 |  243771220 |  243771220 |  321334790
  IPC                                |       0.04 |       0.02 |       0.26 |       0.26 |       0.26 |       0.71 |       0.31 |       0.41 |       0.38 |       0.31 |       1.15 |       1.18 |       1.43 |       1.41 |       0.01
  Time (ns)                          |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100 |  110805100
  Idle time (ns)                     |  107084076 |  108454026 |   61190848 |   61312556 |   61052779 |   11835259 |   95720036 |   92956455 |   93902863 |   95366948 |    8996235 |    7455821 |    7999347 |    9592708 |  109227214
  Idle time (%)                      |      96.6% |      97.9% |      55.2% |      55.3% |      55.1% |      10.7% |      86.4% |      83.9% |      84.7% |      86.1% |       8.1% |       6.7% |       7.2% |       8.7% |      98.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279286 |     172931 |    4227094 |    4224767 |    4237767 |    8658486 |     156224 |     148804 |     145168 |     154505 |   44482298 |   45313198 |   41804214 |   41151789 |     469263
  num incorrect                      |       7663 |        728 |        640 |        636 |        636 |       1472 |       2728 |       2687 |       2665 |       2762 |    2017947 |    2018349 |    2049445 |    2023312 |       8271
  misprediction rate                 |      0.60% |      0.42% |      0.02% |      0.02% |      0.02% |      0.02% |      1.72% |      1.77% |      1.80% |      1.76% |      4.34% |      4.26% |      4.67% |      4.69% |      1.73%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.44 |       5.30 |       5.86 |       5.88 |       1.80
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529866 |     430473 |    6352660 |    6347447 |    6367610 |   13010243 |    5667962 |    5614005 |    5228348 |    5663081 |   42104536 |   43273595 |   39950695 |   39531950 |     621424
    num misses                       |        118 |         36 |         35 |         34 |         34 |         32 |         40 |         41 |         39 |         39 |         40 |         48 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836312 |    3838163 |   56692400 |   56681789 |   56849290 |  115948382 |   23556796 |   23331852 |   21729546 |   23536170 |  180790603 |  188170535 |  169162766 |  165335107 |    2519118
    num misses                       |      14393 |       5347 |        624 |        621 |        628 |       1252 |       2279 |       2212 |       2631 |       2307 |      25371 |      27577 |      21034 |      22338 |       4698
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.19%
    mpki                             |       1.48 |       1.22 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.03 |       0.02 |       0.07 |       0.07 |       0.06 |       0.06 |       1.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14511 |       5383 |        659 |        655 |        662 |       1284 |       2319 |       2253 |       2670 |       2346 |      25411 |      27625 |      21074 |      22378 |       4739
    num misses                       |       6293 |       5325 |        630 |        625 |        627 |       1192 |       1817 |       1758 |       1728 |       1800 |       2051 |       2158 |       1853 |       1755 |       2321
    miss rate                        |     43.37% |     98.92% |     95.60% |     95.42% |     94.71% |     92.83% |     78.35% |     78.03% |     64.72% |     76.73% |      8.07% |      7.81% |      8.79% |      7.84% |     48.98%
    mpki                             |       0.65 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.50
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529866 |     430473 |    6352660 |    6347447 |    6367610 |   13010243 |    5667962 |    5614005 |    5228348 |    5663081 |   42104536 |   43273595 |   39950695 |   39531950 |     621424
    num cache misses                 |       2032 |        563 |        404 |        403 |        400 |       1050 |        965 |       1990 |       1794 |       1006 |      20611 |      21076 |      25340 |      25720 |        542
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.04% |      0.03% |      0.02% |      0.05% |      0.05% |      0.06% |      0.07% |      0.09%
    mpki                             |       0.21 |       0.13 |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.06 |       0.06 |       0.07 |       0.07 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836312 |    3838163 |   56692400 |   56681789 |   56849290 |  115948382 |   23556796 |   23331852 |   21729546 |   23536170 |  180790603 |  188170535 |  169162766 |  165335107 |    2519118
    num cache misses                 |     173573 |     334395 |      36430 |      36167 |      36349 |      75053 |      48755 |      48275 |      45266 |      48638 |    2577603 |    2759466 |    3123635 |    3043698 |      22189
    miss rate                        |      3.59% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.43% |      1.47% |      1.85% |      1.84% |      0.88%
    mpki                             |      17.90 |      76.09 |       0.43 |       0.43 |       0.43 |       0.44 |       0.48 |       0.48 |       0.49 |       0.48 |       6.95 |       7.25 |       8.93 |       8.84 |       4.83
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     239754 |     372795 |      37145 |      36891 |      37109 |      77028 |      50559 |      50986 |      48619 |      51261 |    2599813 |    2782337 |    3150383 |    3070844 |      26387
    num cache misses                 |     162469 |     333616 |      36465 |      36242 |      36413 |      75050 |      49376 |      49791 |      46602 |      49252 |      99885 |     105539 |     105423 |      98336 |      16547
    miss rate                        |     67.76% |     89.49% |     98.17% |     98.24% |     98.12% |     97.43% |     97.66% |     97.66% |     95.85% |     96.08% |      3.84% |      3.79% |      3.35% |      3.20% |     62.71%
    mpki                             |      16.76 |      75.91 |       0.43 |       0.43 |       0.43 |       0.44 |       0.49 |       0.50 |       0.50 |       0.49 |       0.27 |       0.28 |       0.30 |       0.29 |       3.60
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     226622 |     371454 |      36776 |      36563 |      36773 |      75988 |      50215 |      50512 |      48162 |      50869 |     101570 |     107407 |     106868 |      99862 |      20209
    num cache misses                 |     154572 |     332928 |      35070 |      32454 |      35021 |      21435 |       3987 |       3459 |      44273 |      47935 |      64274 |      88066 |      68705 |      56626 |       6570
    miss rate                        |     68.21% |     89.63% |     95.36% |     88.76% |     95.24% |     28.21% |      7.94% |      6.85% |     91.93% |     94.23% |     63.28% |     81.99% |     64.29% |     56.70% |     32.51%
    mpki                             |      15.94 |      75.75 |       0.42 |       0.39 |       0.42 |       0.12 |       0.04 |       0.03 |       0.48 |       0.48 |       0.17 |       0.23 |       0.20 |       0.16 |       1.43
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     541578 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     541541 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74576 |     203669 |      33114 |      30706 |      33075 |      17068 |       2003 |       1774 |       1396 |       1504 |        811 |        722 |        492 |        492 |       4842
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3281 |          5 |        404 |        395 |        465 |       1394 |        346 |        332 |      40372 |      43709 |      16800 |      34398 |      22440 |      15283 |        204
