                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  191110494 |  196692688 |  197163147 |  197457415
  Cycles                             |   83477200 |   83477200 |   83477200 |   83477200
  IPC                                |       2.29 |       2.36 |       2.36 |       2.37
  Time (ns)                          |   20869300 |   20869300 |   20869300 |   20869300
  Idle time (ns)                     |       1379 |     507381 |     493719 |     434764
  Idle time (%)                      |       0.0% |       2.4% |       2.4% |       2.1%
Branch predictor stats               |            |            |            |           
  num correct                        |   10313826 |   12325122 |   12481952 |   12579866
  num incorrect                      |      84089 |      76152 |      76150 |      76160
  misprediction rate                 |      0.81% |      0.61% |      0.61% |      0.60%
  mpki                               |       0.44 |       0.39 |       0.39 |       0.39
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   17707351 |   17594306 |   17594308 |   17594419
    num misses                       |        198 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   61971166 |   62673751 |   62752151 |   62801488
    num misses                       |      55536 |      54420 |      53150 |      54578
    miss rate                        |      0.09% |      0.09% |      0.08% |      0.09%
    mpki                             |       0.29 |       0.28 |       0.27 |       0.28
  L2 TLB                             |            |            |            |           
    num accesses                     |      55734 |      54445 |      53175 |      54603
    num misses                       |      10968 |       9928 |       9981 |      10044
    miss rate                        |     19.68% |     18.23% |     18.77% |     18.39%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   17707351 |   17594306 |   17594308 |   17594419
    num cache misses                 |      15083 |       4335 |       4537 |       4528
    miss rate                        |      0.09% |      0.02% |      0.03% |      0.03%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   61971166 |   62673751 |   62752151 |   62801488
    num cache misses                 |    6970804 |    6959173 |    6959270 |    6959196
    miss rate                        |     11.25% |     11.10% |     11.09% |     11.08%
    mpki                             |      36.48 |      35.38 |      35.30 |      35.24
  Cache L2                           |            |            |            |           
    num cache accesses               |    7086309 |    7061448 |    7061612 |    7061122
    num cache misses                 |     831431 |     808995 |     809964 |     811670
    miss rate                        |     11.73% |     11.46% |     11.47% |     11.49%
    mpki                             |       4.35 |       4.11 |       4.11 |       4.11
  Cache L3                           |            |            |            |           
    num cache accesses               |    1144364 |    1105999 |    1103433 |    1098475
    num cache misses                 |     650210 |     614179 |     609767 |     601149
    miss rate                        |     56.82% |     55.53% |     55.26% |     54.73%
    mpki                             |       3.40 |       3.12 |       3.09 |       3.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4586774 |          0 |          0 |          0
  average dram access latency (ns)   |    2152.56 |        inf |        inf |        inf
  average dram queueing delay        |    2091.31 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     27.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |     395859 |     374151 |     370055 |     363304
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
