                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  149193121 |  152227201 |  152532909 |  152379747 |  196125000 |  196298982 |  197265140 |  196110962 |  164602940 |  164428794 |  164547886 |  164617960
  Cycles                             |   63978200 |   63978200 |   63978200 |   63978200 |   84334900 |   84334900 |   84334900 |   84334900 |   63978200 |   63978200 |   63978200 |   63978200
  IPC                                |       2.33 |       2.38 |       2.38 |       2.38 |       2.33 |       2.33 |       2.34 |       2.33 |       2.57 |       2.57 |       2.57 |       2.57
  Time (ns)                          |   29081000 |   29081000 |   29081000 |   29081000 |   29081000 |   29081000 |   29081000 |   29081000 |   29081000 |   29081000 |   29081000 |   29081000
  Idle time (ns)                     |      10337 |     632824 |     637095 |     642928 |     464497 |     652320 |     577036 |     577675 |    1215890 |    1324232 |    1242212 |    1324950
  Idle time (%)                      |       0.0% |       2.2% |       2.2% |       2.2% |       1.6% |       2.2% |       2.0% |       2.0% |       4.2% |       4.6% |       4.3% |       4.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8002608 |    9033975 |    9121308 |    9077551 |   21576283 |   21625848 |   21901876 |   21572116 |   22222737 |   22172984 |   22207014 |   22227024
  num incorrect                      |     196034 |     178249 |     178243 |     178238 |     178263 |     178273 |     178282 |     178278 |     132920 |     132919 |     132916 |     132924
  misprediction rate                 |      2.39% |      1.93% |      1.92% |      1.93% |      0.82% |      0.82% |      0.81% |      0.82% |      0.59% |      0.60% |      0.59% |      0.59%
  mpki                               |       1.31 |       1.17 |       1.17 |       1.17 |       0.91 |       0.91 |       0.90 |       0.91 |       0.81 |       0.81 |       0.81 |       0.81
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   12804283 |   12660837 |   12660845 |   12660846 |   12660815 |   12660920 |   12660930 |   12660927 |    9123970 |    9123969 |    9123966 |    9123970
    num misses                       |        330 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   47985489 |   48081470 |   48125185 |   48103311 |   54352609 |   54377799 |   54515847 |   54350959 |   42538800 |   42513916 |   42530923 |   42540945
    num misses                       |      36297 |      32877 |      34232 |      33062 |      34173 |      33420 |      32856 |      33487 |      24767 |      24840 |      24583 |      24918
    miss rate                        |      0.08% |      0.07% |      0.07% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.24 |       0.22 |       0.22 |       0.22 |       0.17 |       0.17 |       0.17 |       0.17 |       0.15 |       0.15 |       0.15 |       0.15
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      36627 |      32905 |      34260 |      33090 |      34201 |      33448 |      32884 |      33515 |      24795 |      24868 |      24611 |      24946
    num misses                       |       9002 |       7396 |       7592 |       7847 |       7746 |       7653 |       7448 |       7985 |       5088 |       4972 |       5037 |       4997
    miss rate                        |     24.58% |     22.48% |     22.16% |     23.71% |     22.65% |     22.88% |     22.65% |     23.83% |     20.52% |     19.99% |     20.47% |     20.03%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   12804283 |   12660837 |   12660845 |   12660846 |   12660815 |   12660920 |   12660930 |   12660927 |    9123970 |    9123969 |    9123966 |    9123970
    num cache misses                 |      14034 |       4117 |       4121 |       4167 |       1732 |       1720 |       1639 |       1717 |       3351 |       3402 |       3532 |       3360
    miss rate                        |      0.11% |      0.03% |      0.03% |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.09 |       0.03 |       0.03 |       0.03 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   47985489 |   48081470 |   48125185 |   48103311 |   54352609 |   54377799 |   54515847 |   54350959 |   42538800 |   42513916 |   42530923 |   42540945
    num cache misses                 |    4934178 |    4915171 |    4914693 |    4915219 |    4579815 |    4578840 |    4578204 |    4577081 |    3417307 |    3414667 |    3417324 |    3414376
    miss rate                        |     10.28% |     10.22% |     10.21% |     10.22% |      8.43% |      8.42% |      8.40% |      8.42% |      8.03% |      8.03% |      8.03% |      8.03%
    mpki                             |      33.07 |      32.29 |      32.22 |      32.26 |      23.35 |      23.33 |      23.21 |      23.34 |      20.76 |      20.77 |      20.77 |      20.74
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5017924 |    4987967 |    4986985 |    4988371 |    4649157 |    4648668 |    4647692 |    4646269 |    3426424 |    3423808 |    3426745 |    3423479
    num cache misses                 |     606948 |     587023 |     587396 |     587630 |     419258 |     421669 |     413905 |     422120 |     410731 |     410321 |     411354 |     409849
    miss rate                        |     12.10% |     11.77% |     11.78% |     11.78% |      9.02% |      9.07% |      8.91% |      9.09% |     11.99% |     11.98% |     12.00% |     11.97%
    mpki                             |       4.07 |       3.86 |       3.85 |       3.86 |       2.14 |       2.15 |       2.10 |       2.15 |       2.50 |       2.50 |       2.50 |       2.49
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     737172 |     715948 |     714586 |     714734 |     552157 |     550394 |     547972 |     548745 |     496936 |     496656 |     497894 |     496263
    num cache misses                 |     326074 |     310661 |     304839 |     306098 |     297795 |     300119 |     291519 |     293242 |     139779 |     141533 |     143997 |     140585
    miss rate                        |     44.23% |     43.39% |     42.66% |     42.83% |     53.93% |     54.53% |     53.20% |     53.44% |     28.13% |     28.50% |     28.92% |     28.33%
    mpki                             |       2.19 |       2.04 |       2.00 |       2.01 |       1.52 |       1.53 |       1.48 |       1.50 |       0.85 |       0.86 |       0.88 |       0.85
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1880282 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1880804 |          0 |          0 |          0
  average dram access latency (ns)   |    4882.69 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |    4909.73 |        inf |        inf |        inf
  average dram queueing delay        |    4821.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    4848.48 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     140507 |     136510 |     135519 |     135435 |     128863 |     127614 |     126433 |     126408 |      13985 |      12585 |       8083 |       6630
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      49862 |      49802 |      49870 |      49847 |      49912 |      49791 |      49506 |      49506 |      90837 |      91635 |      96561 |      97543
