feature,importance
avg_ipc,0.0
ipc_cv,0.0
pe_ratio,0.0
local_ratio,0.0
remote_ratio,0.0
l2_intensity,0.0
l3_intensity,0.0
mem_intensity,0.0
read_ratio,0.26153846153846155
cpi_l3_ratio,0.0
cpi_dram_local_ratio,0.0
cpi_dram_remote_ratio,0.0
cpi_branch_ratio,0.0
cpi_sync_ratio,0.0
uop_load_ratio,0.09999999999999998
uop_store_ratio,0.0
uop_fp_ratio,0.0
dtlb_miss_rate,0.0
branch_mispredict_rate,0.0
avg_dram_latency,0.0
dram_queue_ratio,0.0
l1d_hit_ratio,0.0
futex_wake_per_minst,0.0
mem_bw_mbps,0.0
operational_intensity,0.0
itlb_miss_rate,0.0
stlb_miss_rate,0.03076923076923075
load_l1_ratio,0.0
