                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45163681 |    6584254 |    5638488 |    6396611 |    7176729 |    7097851
  Cycles                             |   34299200 |   34299200 |   34299200 |   34299200 |   34299200 |   34299200
  IPC                                |       1.32 |       0.19 |       0.16 |       0.19 |       0.21 |       0.21
  Time (ns)                          |    8574800 |    8574800 |    8574800 |    8574800 |    8574800 |    8574800
  Idle time (ns)                     |      60934 |    7017740 |    6964970 |    6964115 |    7016417 |    7040893
  Idle time (%)                      |       0.7% |      81.8% |      81.2% |      81.2% |      81.8% |      82.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5019301 |    1804884 |    1332849 |    1663161 |    2002202 |    1992422
  num incorrect                      |     352781 |      36232 |      57330 |      46284 |      36176 |      33504
  misprediction rate                 |      6.57% |      1.97% |      4.12% |      2.71% |      1.77% |      1.65%
  mpki                               |       7.81 |       5.50 |      10.17 |       7.24 |       5.04 |       4.72
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    5252019 |     241689 |     354250 |     296529 |     245030 |     229786
    num misses                       |        182 |         31 |         48 |         48 |         46 |         46
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10457825 |    1641940 |    1597662 |    1664843 |    1742811 |    1712106
    num misses                       |      13602 |      11857 |      12027 |      12137 |      11964 |      11959
    miss rate                        |      0.13% |      0.72% |      0.75% |      0.73% |      0.69% |      0.70%
    mpki                             |       0.30 |       1.80 |       2.13 |       1.90 |       1.67 |       1.68
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13784 |      11888 |      12075 |      12185 |      12010 |      12005
    num misses                       |        914 |        350 |        390 |        385 |        365 |        353
    miss rate                        |      6.63% |      2.94% |      3.23% |      3.16% |      3.04% |      2.94%
    mpki                             |       0.02 |       0.05 |       0.07 |       0.06 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    5252019 |     241689 |     354250 |     296529 |     245030 |     229786
    num cache misses                 |       3170 |        186 |        528 |        499 |        377 |        370
    miss rate                        |      0.06% |      0.08% |      0.15% |      0.17% |      0.15% |      0.16%
    mpki                             |       0.07 |       0.03 |       0.09 |       0.08 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10457825 |    1641940 |    1597662 |    1664843 |    1742811 |    1712106
    num cache misses                 |     100271 |      67530 |      71057 |      68953 |      67646 |      67427
    miss rate                        |      0.96% |      4.11% |      4.45% |      4.14% |      3.88% |      3.94%
    mpki                             |       2.22 |      10.26 |      12.60 |      10.78 |       9.43 |       9.50
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     106009 |      68055 |      71975 |      69885 |      70327 |      70049
    num cache misses                 |      83295 |      59451 |      60665 |      60373 |      59648 |      59457
    miss rate                        |     78.57% |     87.36% |     84.29% |     86.39% |     84.82% |     84.88%
    mpki                             |       1.84 |       9.03 |      10.76 |       9.44 |       8.31 |       8.38
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      86192 |      59833 |      61192 |      60879 |      61997 |      61726
    num cache misses                 |      47420 |      24726 |      24788 |      24982 |      47923 |      47742
    miss rate                        |     55.02% |     41.33% |     40.51% |     41.04% |     77.30% |     77.35%
    mpki                             |       1.05 |       3.76 |       4.40 |       3.91 |       6.68 |       6.73
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      20133 |          0 |          0 |          0 |      20064 |          0
  average dram access latency (ns)   |      61.44 |        inf |        inf |        inf |      61.43 |        inf
  average dram queueing delay        |       0.19 |       0.00 |       0.00 |       0.00 |       0.17 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      11015 |        953 |       1126 |        962 |        272 |        293
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8893 |       8657 |       8699 |       8798 |       8872 |       8755
