                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
    num cache misses                 |   29909821 |    2212589 |    2248257 |    2247426 |    2264881 |    2251546 |    2229416 |    2259696 |    2294445 |    2264733 |    2269334 |    2238448
    miss rate                        |     78.03% |     44.63% |     45.17% |     44.84% |     45.26% |     44.90% |     44.73% |     45.24% |     45.58% |     45.25% |     45.28% |     44.78%
    mpki                             |      60.69 |      38.04 |      26.98 |      20.71 |      16.94 |      14.18 |      12.12 |      10.80 |       9.79 |       8.73 |       7.97 |       7.27
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   40441772 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   40270852 |          0 |          0 |          0
  average dram access latency (ns)   |      62.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      62.09 |        inf |        inf |        inf
  average dram queueing delay        |       0.77 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.84 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     19.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     19.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |   28661168 |    2212542 |    2248201 |    2247346 |    2264788 |    2251434 |    2149642 |    2040109 |    1939476 |    2186809 |    2263343 |    2237869
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     196579 |          8 |          6 |          7 |          7 |          4 |      79640 |     219440 |     354873 |      77837 |       5929 |        468
