                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   56452114 |   56481045 |   56623704 |   56301333 |   54789957 |   54543408
  Cycles                             |  101900800 |  101900800 |  101900800 |  101900800 |   25475200 |   25475200
  IPC                                |       0.55 |       0.55 |       0.56 |       0.55 |       2.15 |       2.14
  Time (ns)                          |   25475200 |   25475200 |   25475200 |   25475200 |   25475200 |   25475200
  Idle time (ns)                     |     324372 |     579228 |     466871 |     467414 |     467817 |     469215
  Idle time (%)                      |       1.3% |       2.3% |       1.8% |       1.8% |       1.8% |       1.8%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    9594952 |    9632534 |   10057740 |    9892654 |    9117300 |    9121608
  num incorrect                      |      48504 |      40743 |      41669 |      42572 |      41691 |      40172
  misprediction rate                 |      0.50% |      0.42% |      0.41% |      0.43% |      0.46% |      0.44%
  mpki                               |       0.86 |       0.72 |       0.74 |       0.76 |       0.76 |       0.74
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2004681 |    1913869 |    1832261 |    1850378 |    1956218 |    1947869
    num misses                       |        366 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   21035168 |   20959946 |   20480185 |   20491388 |   20586776 |   20421493
    num misses                       |       6746 |       5954 |       3635 |       5132 |       4782 |       6072
    miss rate                        |      0.03% |      0.03% |      0.02% |      0.03% |      0.02% |      0.03%
    mpki                             |       0.12 |       0.11 |       0.06 |       0.09 |       0.09 |       0.11
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       7112 |       5981 |       3662 |       5159 |       4809 |       6099
    num misses                       |        620 |        241 |        232 |        229 |        232 |        225
    miss rate                        |      8.72% |      4.03% |      6.34% |      4.44% |      4.82% |      3.69%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2004681 |    1913869 |    1832261 |    1850378 |    1956218 |    1947869
    num cache misses                 |      12638 |        339 |        352 |        349 |        454 |        470
    miss rate                        |      0.63% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.22 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   21035168 |   20959946 |   20480185 |   20491388 |   20586776 |   20421493
    num cache misses                 |    1555454 |    1575379 |    1496427 |    1495226 |    1534483 |    1529517
    miss rate                        |      7.39% |      7.52% |      7.31% |      7.30% |      7.45% |      7.49%
    mpki                             |      27.55 |      27.89 |      26.43 |      26.56 |      28.01 |      28.04
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    1582912 |    1588974 |    1509750 |    1508542 |    1548997 |    1542529
    num cache misses                 |      85639 |      74816 |      75433 |      75845 |      77728 |      79246
    miss rate                        |      5.41% |      4.71% |      5.00% |      5.03% |      5.02% |      5.14%
    mpki                             |       1.52 |       1.32 |       1.33 |       1.35 |       1.42 |       1.45
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     101863 |      88486 |      88834 |      88841 |      92209 |      92200
    num cache misses                 |      16432 |       6009 |       5792 |       5792 |       5938 |       5788
    miss rate                        |     16.13% |      6.79% |      6.52% |      6.52% |      6.44% |      6.28%
    mpki                             |       0.29 |       0.11 |       0.10 |       0.10 |       0.11 |       0.11
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      45656 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     356.80 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     295.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6706 |         25 |         31 |         47 |       1109 |       1206
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
