                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9653874 |    4779758 |  340124095 |   84314259 |  194857963 |  199055314 |  709029064 |  736204390 |    4532455
  Cycles                             |  620428610 |  470669980 |  470669980 |  620428610 |  620428610 |  470669980 |  470669980 |  620428610 |  620428610
  IPC                                |       0.02 |       0.01 |       0.72 |       0.14 |       0.31 |       0.42 |       1.51 |       1.19 |       0.01
  Time (ns)                          |  213940900 |  213940900 |  213940900 |  213940900 |  213940900 |  213940900 |  213940900 |  213940900 |  213940900
  Idle time (ns)                     |  211870660 |  211403984 |   17471796 |  164164303 |  181817967 |  175356255 |    7699910 |    6039611 |  212495659
  Idle time (%)                      |      99.0% |      98.8% |       8.2% |      76.7% |      85.0% |      82.0% |       3.6% |       2.8% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275519 |     237103 |   17108707 |    4237549 |     298609 |     305061 |   85232844 |   87519644 |     465657
  num incorrect                      |       7592 |        709 |       2267 |        609 |       5156 |       5012 |    3996589 |    4098725 |       8301
  misprediction rate                 |      0.59% |      0.30% |      0.01% |      0.01% |      1.70% |      1.62% |      4.48% |      4.47% |      1.75%
  mpki                               |       0.79 |       0.15 |       0.01 |       0.01 |       0.03 |       0.03 |       5.64 |       5.57 |       1.83
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524596 |     430466 |   25709150 |    6367463 |   10966928 |   11205243 |   80956992 |   83897603 |     615576
    num misses                       |        113 |         35 |         35 |         32 |         39 |         39 |         46 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4811978 |    4094768 |  229315642 |   56848755 |   45577233 |   46570178 |  344490947 |  358949327 |    2480933
    num misses                       |      11291 |       5327 |       2292 |        935 |       4491 |       4297 |      37945 |      39528 |       2971
    miss rate                        |      0.23% |      0.13% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.12%
    mpki                             |       1.17 |       1.11 |       0.01 |       0.01 |       0.02 |       0.02 |       0.05 |       0.05 |       0.66
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      11404 |       5362 |       2327 |        967 |       4530 |       4336 |      37991 |      39575 |       3012
    num misses                       |       3163 |       5323 |       2280 |        620 |       3351 |       3354 |       3531 |       3623 |       1966
    miss rate                        |     27.74% |     99.27% |     97.98% |     64.12% |     73.97% |     77.35% |      9.29% |      9.15% |     65.27%
    mpki                             |       0.33 |       1.11 |       0.01 |       0.01 |       0.02 |       0.02 |       0.00 |       0.00 |       0.43
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1524596 |     430466 |   25709150 |    6367463 |   10966928 |   11205243 |   80956992 |   83897603 |     615576
    num cache misses                 |       1771 |        551 |       1793 |        358 |       1689 |       4195 |      44964 |      33475 |        350
    miss rate                        |      0.12% |      0.13% |      0.01% |      0.01% |      0.02% |      0.04% |      0.06% |      0.04% |      0.06%
    mpki                             |       0.18 |       0.12 |       0.01 |       0.00 |       0.01 |       0.02 |       0.06 |       0.05 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4811978 |    4094768 |  229315642 |   56848755 |   45577233 |   46570178 |  344490947 |  358949327 |    2480933
    num cache misses                 |     169012 |     334407 |     146590 |      36049 |      93777 |      96170 |    6399224 |    5095266 |      21881
    miss rate                        |      3.51% |      8.17% |      0.06% |      0.06% |      0.21% |      0.21% |      1.86% |      1.42% |      0.88%
    mpki                             |      17.51 |      69.96 |       0.43 |       0.43 |       0.48 |       0.48 |       9.03 |       6.92 |       4.83
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     178998 |     501106 |     150151 |      36849 |      98488 |     103486 |    6449628 |    5133655 |      30316
    num cache misses                 |     158529 |     333601 |     146192 |      36051 |      94571 |      98593 |     198554 |     185786 |      16544
    miss rate                        |     88.56% |     66.57% |     97.36% |     97.83% |     96.02% |     95.27% |      3.08% |      3.62% |     54.57%
    mpki                             |      16.42 |      69.79 |       0.43 |       0.43 |       0.49 |       0.50 |       0.28 |       0.25 |       3.65
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     166748 |     499750 |     148046 |      36497 |      97593 |     101714 |     204121 |     190772 |      24629
    num cache misses                 |      89335 |     333167 |     143774 |      35898 |      93167 |      95043 |     163834 |     172394 |      16543
    miss rate                        |     53.57% |     66.67% |     97.11% |     98.36% |     95.46% |     93.44% |     80.26% |     90.37% |     67.17%
    mpki                             |       9.25 |      69.70 |       0.42 |       0.43 |       0.48 |       0.48 |       0.23 |       0.23 |       3.65
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     107891 |     107863 |     107892 |     107895 |     107899 |     109396 |     107839 |     107846 |     107868
  average dram access latency (ns)   |      61.26 |      61.26 |      61.26 |      61.26 |      61.26 |      61.26 |      61.26 |      61.26 |      61.26
  average dram queueing delay        |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2397 |     331907 |      34867 |      33009 |      48150 |      50805 |      81698 |      85836 |        100
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      10359 |        189 |     100972 |        715 |      39262 |      38448 |       6802 |       6118 |      11926
