                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  327359529 |  333872215 |  355872627 |  359025878 |  362758148 |  372720410
  Cycles                             |  406420800 |  406420800 |  406420800 |  406420800 |  406420800 |  406420800
  IPC                                |       0.81 |       0.82 |       0.88 |       0.88 |       0.89 |       0.92
  Time (ns)                          |  101605200 |  101605200 |  101605200 |  101605200 |  101605200 |  101605200
  Idle time (ns)                     |      15236 |     531810 |    1241860 |    1276962 |    1716170 |    1745574
  Idle time (%)                      |       0.0% |       0.5% |       1.2% |       1.3% |       1.7% |       1.7%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   18105881 |   20480783 |   31428123 |   32602789 |   34739040 |   38514065
  num incorrect                      |      14227 |       7611 |       7475 |       7378 |       6884 |       6786
  misprediction rate                 |      0.08% |      0.04% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   35189809 |   35048051 |   33665441 |   33614696 |   33277961 |   33089115
    num misses                       |        188 |         28 |         28 |         28 |         29 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |  179505965 |  180254441 |  178912640 |  179298129 |  178661692 |  179816522
    num misses                       |     101739 |      99732 |      96011 |      95921 |      95032 |      94212
    miss rate                        |      0.06% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.31 |       0.30 |       0.27 |       0.27 |       0.26 |       0.25
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |     101927 |      99760 |      96039 |      95949 |      95061 |      94241
    num misses                       |      70347 |      69242 |      66771 |      66633 |      65873 |      65386
    miss rate                        |     69.02% |     69.41% |     69.52% |     69.45% |     69.30% |     69.38%
    mpki                             |       0.21 |       0.21 |       0.19 |       0.19 |       0.18 |       0.18
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   35189809 |   35048051 |   33665441 |   33614696 |   33277961 |   33089115
    num cache misses                 |      35255 |      22421 |      21382 |      21700 |      21124 |      20762
    miss rate                        |      0.10% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.11 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |  179505965 |  180254441 |  178912640 |  179298129 |  178661692 |  179816522
    num cache misses                 |    7239095 |    7291008 |    7017589 |    7009297 |    6919698 |    6892163
    miss rate                        |      4.03% |      4.04% |      3.92% |      3.91% |      3.87% |      3.83%
    mpki                             |      22.11 |      21.84 |      19.72 |      19.52 |      19.08 |      18.49
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    7806333 |    7842304 |    7569761 |    7552605 |    7456404 |    7408492
    num cache misses                 |    5288833 |    5284150 |    5095259 |    5094481 |    5024101 |    4989643
    miss rate                        |     67.75% |     67.38% |     67.31% |     67.45% |     67.38% |     67.35%
    mpki                             |      16.16 |      15.83 |      14.32 |      14.19 |      13.85 |      13.39
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |    5823176 |    5813479 |    5626575 |    5616614 |    5540096 |    5485572
    num cache misses                 |    3513164 |    3467544 |    3368662 |    3405589 |    3282183 |    3251517
    miss rate                        |     60.33% |     59.65% |     59.87% |     60.63% |     59.24% |     59.27%
    mpki                             |      10.73 |      10.39 |       9.47 |       9.49 |       9.05 |       8.72
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |   14566186 |          0 |          0 |   14567298 |          0 |          0
  average dram access latency (ns)   |    3315.15 |        inf |        inf |    3314.86 |        inf |        inf
  average dram queueing delay        |    3253.90 |       0.00 |       0.00 |    3253.61 |       0.00 |       0.00
  average dram bandwidth utilization |     17.00% |      0.00% |      0.00% |     17.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |    2466782 |    2483708 |    2393278 |    2386854 |    2353440 |    2315246
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      40922 |       9062 |      28536 |      61191 |       4295 |       9291
