1951304,254566,352812,225285,315294,593267,166150,417351,635902,845882,0
1849735,846438,653769,705481,676205,1028508,699604,1024357,1072550,0,845882
2163349,512882,580561,456118,608533,1187062,339042,1110781,0,1072550,635902
2962028,372963,475158,212335,337960,428123,336066,0,1110781,1024357,417351
1308292,170901,101776,54982,101464,366640,0,336066,339042,699604,166150
2205141,446530,527139,360826,526327,0,366640,428123,1187062,1028508,593267
1514013,124771,249256,133226,0,526327,101464,337960,608533,676205,315294
1534105,59828,132959,0,133226,360826,54982,212335,456118,705481,225285
1854336,216211,0,132959,249256,527139,101776,475158,580561,653769,352812
1920052,0,216211,59828,124771,446530,170901,372963,512882,846438,254566
0,1920052,1854336,1534105,1514013,2205141,1308292,2962028,2163349,1849735,1951304

