37514,0,0,0,4372,0,0,296,4800,636,14560,6044,158711,2468,0,464,120,18932,0,0,0,4912,8164,144,236,0,11580,1664,4396,3232,980,2964,2852,0,4404,1472,68351,7460,2588,2376,1588,592,2260,9444,0
35266,0,112,0,3484,24,0,1360,1564,0,420,1680,1053359,552,0,1476,224,22668,0,4,124,21820,9916,32,44,12,24409,632,812,956,452,6664,0,12,8016,464,4072,23484,604,692,580,1868,860,0,9444
68251,11024,16,8,14540,8,16668,9924,6612,10576,27992,11476,348500,2268,8,632,232,440,8,8,8,8,2136,21940,40,12,8,22528,6956,5964,9292,2312,200,8,1364,1556,1372566,8,20724,4648,2396,776,0,860,2260
41061,80,0,260,3332,0,0,1732,1716,51688,344,1548,1062390,908,0,1412,240,352,0,0,260,96,768,0,16,0,104,800,18684,892,492,488,53617,8,444,584,4712,96,616,20816,568,0,776,1868,592
35205,0,0,0,6260,0,68,340,7504,0,13632,5716,159453,7936,0,7372,15764,0,36,0,0,276,1112,0,2948,11548,32,2672,2748,9060,1196,860,240,2524,1796,5200,64618,0,2296,2268,0,568,2396,580,1588
83107,0,0,0,8788,0,0,332,6404,34764,32352,9152,344912,2932,0,496,264,840,0,0,0,0,3576,144,0,0,0,4876,19408,6288,5068,2404,42328,0,3800,2088,230762,0,5964,0,2268,20816,4648,692,2376
78937,17068,32,0,19028,0,23416,8152,7856,13612,31416,22220,364232,3232,0,736,272,492,0,0,16,0,2544,6156,108,0,0,12352,7404,7020,25564,2656,0,76,1648,1992,576713,0,0,5964,2296,616,20724,604,2588
17681,88,0,0,1248,0,32,3080,240,16,24,564,134086,0,0,0,96,0,0,0,0,216,9040,0,32,72,220,0,0,240,0,16600,116,28,1704,12,4664,0,0,0,0,96,8,23484,7460
1364257,7165,8,32,4676,8,9952,5628,13145,13196,672,10204,169904,71862,8,4252,17216,4808,8,8,8,4668,72944,7729,13040,5852,5344,1125555,146946,72976,2338751,53156,11868,12680,54313,65075,0,4664,576713,230762,64618,4712,1372566,4072,68351
37395,0,4,0,6960,60,8,564,4340,0,14560,7980,158000,13712,0,9224,6528,168,0,0,0,0,2000,0,13048,5736,0,1732,2624,5488,1488,468,0,4328,1320,0,65075,12,1992,2088,5200,584,1556,464,1472
