275541467,51358100,31559020,20939120,19836004,6971108,8216920,14328608,12676204,12421896,0
200528527,28842636,16955124,13067740,12424092,11804840,10660840,11809204,13742652,0,12421896
145156711,23600216,13718308,15173744,11312168,14164908,10533804,10338060,0,13742652,12676204
169011944,24050680,16246156,14240228,17260292,16456936,11395484,0,10338060,11809204,14328608
249461559,35018912,20376532,15304664,14041488,10612672,0,11395484,10533804,10660840,8216920
268416639,43442576,27708744,20142732,19868596,0,10612672,16456936,14164908,11804840,6971108
138009617,26538620,21992196,17641464,0,19868596,14041488,17260292,11312168,12424092,19836004
200023067,40588156,22571544,0,17641464,20142732,15304664,14240228,15173744,13067740,20939120
132644694,37318008,0,22571544,21992196,27708744,20376532,16246156,13718308,16955124,31559020
111796112,0,37318008,40588156,26538620,43442576,35018912,24050680,23600216,28842636,51358100
0,111796112,132644694,200023067,138009617,268416639,249461559,169011944,145156711,200528527,275541467

