22563532,1683599,3238014,1585090,1728881,3446039,1271762,1532374,1969542,1686237,1581370,1985327,8154208,0
21902552,4661549,6163696,7438749,2519569,3988448,2094178,2184572,3340274,3495650,3089851,3767042,0,8154208
12754454,2666600,3480099,1960252,1679201,2082474,1303464,1612654,1575122,3362817,4460567,0,3767042,1985327
13554247,1599691,2947524,1774150,2942254,1957291,919125,1348637,1389417,1522371,0,4460567,3089851,1581370
11017868,1572681,4118310,1541390,1041339,2498326,850593,1616542,1558901,0,1522371,3362817,3495650,1686237
9868972,1506945,2685764,1379871,2630940,4044194,1017540,1047355,0,1558901,1389417,1575122,3340274,1969542
11701289,1738641,2589020,936901,1385886,3249126,4101395,0,1047355,1616542,1348637,1612654,2184572,1532374
9610432,1228473,1981579,4629503,845215,1502105,0,4101395,1017540,850593,919125,1303464,2094178,1271762
13573774,2787020,3935230,2017607,1540695,0,1502105,3249126,4044194,2498326,1957291,2082474,3988448,3446039
9644673,1563737,2262220,995007,0,1540695,845215,1385886,2630940,1041339,2942254,1679201,2519569,1728881
13232066,2189813,2932720,0,995007,2017607,4629503,936901,1379871,1541390,1774150,1960252,7438749,1585090
20391067,4827958,0,2932720,2262220,3935230,1981579,2589020,2685764,4118310,2947524,3480099,6163696,3238014
17324161,0,4827958,2189813,1563737,2787020,1228473,1738641,1506945,1572681,1599691,2666600,4661549,1683599
0,17324161,20391067,13232066,9644673,13573774,9610432,11701289,9868972,11017868,13554247,12754454,21902552,22563532

