2144161,193687,190368,198151,381511,173333,183722,170746,179638,199046,176027,183093,199991,0
2341678,203930,208791,208127,443644,185789,185458,180110,187700,211251,182748,190033,0,199991
3602225,176821,187479,187023,251062,194040,199001,196200,199580,192731,194014,0,190033,183093
4949198,178185,180524,186040,249192,192539,192341,192691,191833,185519,0,194014,182748,176027
2406849,199333,212556,204652,239483,183001,188184,182012,190246,0,185519,192731,211251,199046
3633679,188429,182690,185054,244904,190950,197105,193079,0,190246,191833,199580,187700,179638
4604857,173194,177045,181898,250137,193759,193051,0,193079,182012,192691,196200,180110,170746
4193077,174296,184040,183402,247581,192415,0,193051,197105,188184,192341,199001,185458,183722
5228184,174502,177722,176940,249994,0,192415,193759,190950,183001,192539,194040,185789,173333
5502674,258299,277962,286401,0,249994,247581,250137,244904,239483,249192,251062,443644,381511
2367607,205385,206716,0,286401,176940,183402,181898,185054,204652,186040,187023,208127,198151
2298620,207945,0,206716,277962,177722,184040,177045,182690,212556,180524,187479,208791,190368
2271469,0,207945,205385,258299,174502,174296,173194,188429,199333,178185,176821,203930,193687
0,2271469,2298620,2367607,5502674,5228184,4193077,4604857,3633679,2406849,4949198,3602225,2341678,2144161

