1364461,6220,4356,112,4452,80,4928,15593,16233,12933,170752,4356,10136,10564,15658,11984,25018,27380,5536526,3000854,15460963,4850838,205743,170011,269310,142132,0
63979,3436,448,8,9660,0,7268,9984,0,8,353924,388,596,0,9064,13776,10212,36692,10348,7808,5780,5744,20008,10940,11820,0,142132
84192,3512,828,8,8496,0,13444,14712,12,160,348864,796,1440,0,14752,16360,24508,32516,11964,8888,6104,7764,20456,11300,0,11820,269310
73468,3368,508,8,13776,0,4288,15892,0,8,327525,480,308,0,17604,16344,12744,31012,9628,8268,6092,4180,14524,0,11300,10940,170011
78603,3032,872,8,295476,56,15848,12880,144,8,323576,712,720,0,15560,9576,10256,47848,20076,18316,39012,15076,0,14524,20456,20008,205743
89091,11440,8988,8,728,0,592,11756,28044,7604,407816,6000,18764,14676,600,592,840,28284,24660,14964,15392,0,15076,4180,7764,5744,4850838
88984,15008,4052,8,466560,84,840,14524,9180,31616,414258,206760,20032,6420,568,168,1408,23432,20056,18948,0,15392,39012,6092,6104,5780,15460963
114155,6188,11940,8,868,84,760,14796,27800,20644,532853,13012,21188,15304,1156,168,1624,34180,35408,0,18948,14964,18316,8268,8888,7808,3000854
121109,13413,10744,8,952,84,696,16176,11108,26496,579073,8660,16620,35468,636,24,936,40092,0,35408,20056,24660,20076,9628,11964,10348,5536526
44738,2928,5160,8,28141,52,24016,12544,140,112,304145,3200,488,164,10876,8848,25044,0,40092,34180,23432,28284,47848,31012,32516,36692,27380
42945,3360,4756,8,23952,12,24764,11140,792,812,285735,3860,680,528,9432,14112,0,25044,936,1624,1408,840,10256,12744,24508,10212,25018
44105,4016,1832,8,18280,84,25004,5800,172,204,286006,4064,380,148,13944,0,14112,8848,24,168,168,592,9576,16344,16360,13776,11984
42760,3760,2820,8,21800,240,27413,6404,316,404,270794,3592,356,168,0,13944,9432,10876,636,1156,568,600,15560,17604,14752,9064,15658
57051,35512,22504,8,0,240,8,3584,16732,21412,386438,17748,12700,0,168,148,528,164,35468,15304,6420,14676,0,0,0,0,10564
55056,21708,26749,8,452,240,404,3152,17176,16184,414294,29544,0,12700,356,380,680,488,16620,21188,20032,18764,720,308,1440,596,10136
35423,4180,4572,1016,217176,344,2544,3768,29924,26277,1053487,0,29544,17748,3592,4064,3860,3200,8660,13012,206760,6000,712,480,796,388,4356
53451,1054317,1054173,252,1056706,200,1062470,41653,420493,445683,0,1053487,414294,386438,270794,286006,285735,304145,579073,532853,414258,407816,323576,327525,348864,353924,170752
863956,38968,27992,8,36,240,8,3884,18528,0,445683,26277,16184,21412,404,204,812,112,26496,20644,31616,7604,8,8,160,8,12933
60318,25264,29372,60,12,0,92,3548,0,18528,420493,29924,17176,16732,316,172,792,140,11108,27800,9180,28044,144,0,12,0,16233
5423,6356,4120,24,5208,1928,4984,0,3548,3884,41653,3768,3152,3584,6404,5800,11140,12544,16176,14796,14524,11756,12880,15892,14712,9984,15593
46044,4064,2024,32,3988,2148,0,4984,92,8,1062470,2544,404,8,27413,25004,24764,24016,696,760,840,592,15848,4288,13444,7268,4928
1601,368,332,124,352,0,2148,1928,0,240,200,344,240,240,240,84,12,52,84,84,84,0,56,0,0,0,80
41318,3764,1984,64,0,352,3988,5208,12,36,1056706,217176,452,0,21800,18280,23952,28141,952,868,466560,728,295476,13776,8496,9660,4452
1705,240,180,0,64,124,32,24,60,8,252,1016,8,8,8,8,8,8,8,8,8,8,8,8,8,8,112
40365,4832,0,180,1984,332,2024,4120,29372,27992,1054173,4572,26749,22504,2820,1832,4756,5160,10744,11940,4052,8988,872,508,828,448,4356
28479,0,4832,240,3764,368,4064,6356,25264,38968,1054317,4180,21708,35512,3760,4016,3360,2928,13413,6188,15008,11440,3032,3368,3512,3436,6220
0,28479,40365,1705,41318,1601,46044,5423,60318,863956,53451,35423,55056,57051,42760,44105,42945,44738,121109,114155,88984,89091,78603,73468,84192,63979,1364461

