213950,21856,791,3772,534,16541,8689,10859,6500882,10199342,8459065,0
41479,77452,3306,6533,5121,23132,7436,11301,13416,13583,0,8459065
43404,78852,3402,5976,5267,22145,10792,10273,15838,0,13583,10199342
40609,76406,2929,6397,5379,24415,10722,6852,0,15838,13416,6500882
20017,223111,7517,22875,5393,9765,12081,0,6852,10273,11301,10859
121321,233746,6028,20504,6636,10367,0,12081,10722,10792,7436,8689
19488,223557,7137,18772,6798,0,10367,9765,24415,22145,23132,16541
6553,1046490,1354,3662,0,6798,6636,5393,5379,5267,5121,534
12554,3187203,2376,0,3662,18772,20504,22875,6397,5976,6533,3772
3713,1046963,0,2376,1354,7137,6028,7517,2929,3402,3306,791
6681,0,1046963,3187203,1046490,223557,233746,223111,76406,78852,77452,21856
0,6681,3713,12554,6553,19488,121321,20017,40609,43404,41479,213950

