2750972,508168,291202,176783,108393,207524,292792,146264,303084,267298,132224,0
3315701,485434,376395,422568,135326,254070,455859,134275,394758,237616,0,132224
2674212,323468,348376,292171,122157,251376,422114,59082,463909,0,237616,267298
2869802,578976,577952,500512,291600,239579,537915,169869,0,463909,394758,303084
2258108,322993,66542,281608,47535,184833,233546,0,169869,59082,134275,146264
2427136,604763,578375,394728,264333,336358,0,233546,537915,422114,455859,292792
2238883,366074,180369,307207,162793,0,336358,184833,239579,251376,254070,207524
2690027,183641,68432,309846,0,162793,264333,47535,291600,122157,135326,108393
2233963,673224,565648,0,309846,307207,394728,281608,500512,292171,422568,176783
3020468,731965,0,565648,68432,180369,578375,66542,577952,348376,376395,291202
3188014,0,731965,673224,183641,366074,604763,322993,578976,323468,485434,508168
0,3188014,3020468,2233963,2690027,2238883,2427136,2258108,2869802,2674212,3315701,2750972

