1638668,702285,709397,704255,706981,709679,711788,715573,710340,721413,712158,714276,0
595274,273144,282765,276330,278077,276975,272513,278095,275614,278443,274666,0,714276
606041,273564,278337,273642,285953,275785,274451,281320,274596,279441,0,274666,712158
979538,286566,288011,279551,273938,273896,281444,287324,283133,0,279441,278443,721413
594205,274455,280273,270900,276913,281246,276731,269567,0,283133,274596,275614,710340
619918,277945,279733,275745,279083,280805,273655,0,269567,287324,281320,278095,715573
598692,277076,270289,272888,275505,272599,0,273655,276731,281444,274451,272513,711788
604349,280293,278410,272837,279267,0,272599,280805,281246,273896,275785,276975,709679
1536158,277313,275989,270204,0,279267,275505,279083,276913,273938,285953,278077,706981
608829,276270,274840,0,270204,272837,272888,275745,270900,279551,273642,276330,704255
539458,270201,0,274840,275989,278410,270289,279733,280273,288011,278337,282765,709397
505412,0,270201,276270,277313,280293,277076,277945,274455,286566,273564,273144,702285
0,505412,539458,608829,1536158,604349,598692,619918,594205,979538,606041,595274,1638668

