15,2718696,1048883,19267125,8392524
14,2746018,1048661,19373115,8389232
13,2730461,1048661,19310887,8389232
12,2746240,1048661,19374003,8389232
11,2424836,1048661,18088387,8389232
10,2421068,1048665,18073311,8389248
9,2470857,1048661,18272471,8389232
8,2516737,1048663,18455979,8389240
7,2739439,1048661,19346799,8389232
6,2726674,1048771,19297431,8390872
5,2725099,1048771,19291086,8390872
4,2727782,1048661,19300171,8389232
3,2740414,1048664,19350695,8389244
2,2752692,1048665,19399807,8389248
1,2775069,1048661,19489319,8389232
0,19255753,1059109,152556524,8453763
