40464707,2437140,2471316,2511324,2606096,2586384,2599592,2584568,3049908,2602628,0
31788647,2508208,2578296,2606316,2636660,2588676,2597444,2622312,2899664,0,2602628
32315691,2828200,2828876,2918388,2861000,2825088,2864448,2859960,0,2899664,3049908
38900467,2465728,2488848,2532836,2596372,2594140,2623140,0,2859960,2622312,2584568
38989007,2440392,2453632,2524836,2592184,2603360,0,2623140,2864448,2597444,2599592
33486847,2479896,2559376,2520480,2563804,0,2603360,2594140,2825088,2588676,2586384
39648255,2472880,2447416,2526444,0,2563804,2592184,2596372,2861000,2636660,2606096
16891403,2882888,2900948,0,2526444,2520480,2524836,2532836,2918388,2606316,2511324
16841979,2865016,0,2900948,2447416,2559376,2453632,2488848,2828876,2578296,2471316
16686224,0,2865016,2882888,2472880,2479896,2440392,2465728,2828200,2508208,2437140
0,16686224,16841979,16891403,39648255,33486847,38989007,38900467,32315691,31788647,40464707

