2166721,278753,386008,390064,710670,768164,429922,250680,254189,0
2538272,369128,398963,361644,440084,826841,368816,155732,0,254189
1803213,105311,98407,144117,194662,401373,296510,0,155732,250680
2370884,387883,481825,353275,578112,1008390,0,296510,368816,429922
2857509,611113,676568,581927,641002,0,1008390,401373,826841,768164
2404992,590533,412590,356107,0,641002,578112,194662,440084,710670
2315236,307265,179569,0,356107,581927,353275,144117,361644,390064
2316921,156276,0,179569,412590,676568,481825,98407,398963,386008
2066094,0,156276,307265,590533,611113,387883,105311,369128,278753
0,2066094,2316921,2315236,2404992,2857509,2370884,1803213,2538272,2166721

