4463778,238109,251856,288934,264473,244055,269096,311393,278964,272170,273028,0
4326198,241415,248329,276554,268507,253339,273039,317084,277138,275408,0,273028
3953543,244599,249544,274883,272916,252175,281373,312836,275904,0,275408,272170
3970163,244114,252005,280138,265627,251926,272557,319715,0,275904,277138,278964
3995927,384465,334322,314145,306861,334121,311262,0,319715,312836,317084,311393
3980906,243403,248082,268577,278295,249712,0,311262,272557,281373,273039,269096
2345012,358072,349986,247297,215552,0,249712,334121,251926,252175,253339,244055
7614225,207666,212057,264254,0,215552,278295,306861,265627,272916,268507,264473
4338262,238786,251461,0,264254,247297,268577,314145,280138,274883,276554,288934
2344928,342831,0,251461,212057,349986,248082,334322,252005,249544,248329,251856
2347733,0,342831,238786,207666,358072,243403,384465,244114,244599,241415,238109
0,2347733,2344928,4338262,7614225,2345012,3980906,3995927,3970163,3953543,4326198,4463778

