                                     | Core 0      | Core 1     
  Instructions                       |  1101942947 |  1028869778
  Cycles                             |   658600150 |   499627700
  IPC                                |        1.67 |        2.06
  Time (ns)                          |   227103500 |   227103500
  Idle time (ns)                     |     6593579 |      274822
  Idle time (%)                      |        2.9% |        0.1%
Branch predictor stats               |             |            
  num correct                        |   197591495 |   172469517
  num incorrect                      |      647526 |      652652
  misprediction rate                 |       0.33% |       0.38%
  mpki                               |        0.59 |        0.63
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |    39296077 |    40084701
    num misses                       |         215 |          27
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   398309078 |   386809623
    num misses                       |      392087 |      391278
    miss rate                        |       0.10% |       0.10%
    mpki                             |        0.36 |        0.38
  L2 TLB                             |             |            
    num accesses                     |      392302 |      391305
    num misses                       |      352963 |      353633
    miss rate                        |      89.97% |      90.37%
    mpki                             |        0.32 |        0.34
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |    39296077 |    40084701
    num cache misses                 |       27902 |       16033
    miss rate                        |       0.07% |       0.04%
    mpki                             |        0.03 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |   398309078 |   386809623
    num cache misses                 |    57530270 |    79094232
    miss rate                        |      14.44% |      20.45%
    mpki                             |       52.21 |       76.87
  Cache L2                           |             |            
    num cache accesses               |    57735652 |    79285499
    num cache misses                 |    21089582 |    21362748
    miss rate                        |      36.53% |      26.94%
    mpki                             |       19.14 |       20.76
  Cache L3                           |             |            
    num cache accesses               |    21274601 |    21544597
    num cache misses                 |      123802 |      112014
    miss rate                        |       0.58% |       0.52%
    mpki                             |        0.11 |        0.11
DRAM summary                         |             |            
  num dram accesses                  |      268535 |           0
  average dram access latency (ns)   |       69.54 |         inf
  average dram queueing delay        |        8.29 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |       54720 |       49337
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
