                                     | Core 0     | Core 1    
  Instructions                       |   18709674 |   18088086
  Cycles                             |   19782300 |   19782300
  IPC                                |       0.95 |       0.91
  Time (ns)                          |   19782300 |   19782300
  Idle time (ns)                     |        175 |     394894
  Idle time (%)                      |       0.0% |       2.0%
Branch predictor stats               |            |           
  num correct                        |    1503620 |    1418237
  num incorrect                      |       7434 |       3709
  misprediction rate                 |      0.49% |      0.26%
  mpki                               |       0.40 |       0.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1218267 |    1147469
    num misses                       |        118 |         24
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6956114 |    6629257
    num misses                       |      29009 |      24511
    miss rate                        |      0.42% |      0.37%
    mpki                             |       1.55 |       1.36
  L2 TLB                             |            |           
    num accesses                     |      29127 |      24535
    num misses                       |        585 |        320
    miss rate                        |      2.01% |      1.30%
    mpki                             |       0.03 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1218267 |    1147469
    num cache misses                 |       4032 |        896
    miss rate                        |      0.33% |      0.08%
    mpki                             |       0.22 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    6956114 |    6629257
    num cache misses                 |     262100 |     252260
    miss rate                        |      3.77% |      3.81%
    mpki                             |      14.01 |      13.95
  Cache L2                           |            |           
    num cache accesses               |     292038 |     273508
    num cache misses                 |     108701 |      94118
    miss rate                        |     37.22% |     34.41%
    mpki                             |       5.81 |       5.20
  Cache L3                           |            |           
    num cache accesses               |     134997 |     115273
    num cache misses                 |      13325 |       4283
    miss rate                        |      9.87% |      3.72%
    mpki                             |       0.71 |       0.24
DRAM summary                         |            |           
  num dram accesses                  |      17605 |          0
  average dram access latency (ns)   |      61.56 |        inf
  average dram queueing delay        |       0.31 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6330 |         82
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
