                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22023826 |    4952529 |    4662901 |    4745217 |    4660151 |    4211746
  Cycles                             |   17353600 |   17353600 |   17353600 |   17353600 |   17353600 |   17353600
  IPC                                |       1.27 |       0.29 |       0.27 |       0.27 |       0.27 |       0.24
  Time (ns)                          |    4338400 |    4338400 |    4338400 |    4338400 |    4338400 |    4338400
  Idle time (ns)                     |       1667 |    3439959 |    3440301 |    3440388 |    3440509 |    3440118
  Idle time (%)                      |       0.0% |      79.3% |      79.3% |      79.3% |      79.3% |      79.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2503024 |    1481609 |    1362625 |    1393451 |    1328439 |    1130782
  num incorrect                      |     171172 |      14058 |      17814 |      16604 |      22319 |      28479
  misprediction rate                 |      6.40% |      0.94% |      1.29% |      1.18% |      1.65% |      2.46%
  mpki                               |       7.77 |       2.84 |       3.82 |       3.50 |       4.79 |       6.76
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2570972 |     101925 |     118487 |     116946 |     140125 |     189175
    num misses                       |        181 |         29 |         29 |         46 |         48 |         50
    miss rate                        |      0.01% |      0.03% |      0.02% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5241190 |    1076164 |    1046858 |    1056180 |    1073010 |    1035629
    num misses                       |       4196 |       1186 |       1214 |       1211 |       1201 |       1209
    miss rate                        |      0.08% |      0.11% |      0.12% |      0.11% |      0.11% |      0.12%
    mpki                             |       0.19 |       0.24 |       0.26 |       0.26 |       0.26 |       0.29
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       4377 |       1215 |       1243 |       1257 |       1249 |       1259
    num misses                       |        701 |        207 |        209 |        231 |        218 |        228
    miss rate                        |     16.02% |     17.04% |     16.81% |     18.38% |     17.45% |     18.11%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2570972 |     101925 |     118487 |     116946 |     140125 |     189175
    num cache misses                 |       2847 |        178 |        178 |        367 |        404 |        448
    miss rate                        |      0.11% |      0.17% |      0.15% |      0.31% |      0.29% |      0.24%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.08 |       0.09 |       0.11
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5241190 |    1076164 |    1046858 |    1056180 |    1073010 |    1035629
    num cache misses                 |      60361 |      33171 |      33483 |      33537 |      33656 |      34872
    miss rate                        |      1.15% |      3.08% |      3.20% |      3.18% |      3.14% |      3.37%
    mpki                             |       2.74 |       6.70 |       7.18 |       7.07 |       7.22 |       8.28
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65612 |      33478 |      33814 |      34080 |      35302 |      36565
    num cache misses                 |      48990 |      30040 |      30281 |      30514 |      30456 |      30710
    miss rate                        |     74.67% |     89.73% |     89.55% |     89.54% |     86.27% |     83.99%
    mpki                             |       2.22 |       6.07 |       6.49 |       6.43 |       6.54 |       7.29
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51665 |      30193 |      30466 |      30722 |      31702 |      32105
    num cache misses                 |      31161 |      12138 |      12305 |      12418 |      24380 |      24532
    miss rate                        |     60.31% |     40.20% |     40.39% |     40.42% |     76.90% |     76.41%
    mpki                             |       1.41 |       2.45 |       2.64 |       2.62 |       5.23 |       5.82
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13829 |          0 |          0 |          0 |      13762 |          0
  average dram access latency (ns)   |      61.45 |        inf |        inf |        inf |      61.43 |        inf
  average dram queueing delay        |       0.20 |       0.00 |       0.00 |       0.00 |       0.18 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10696 |        471 |        502 |        479 |        178 |        160
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4508 |       4306 |       4302 |       4365 |       4669 |       4790
