                                     | Core 0     | Core 1    
  Instructions                       |   24860138 |    6069743
  Cycles                             |   19565100 |   19565100
  IPC                                |       1.27 |       0.31
  Time (ns)                          |    6521700 |    6521700
  Idle time (ns)                     |       1421 |    4286883
  Idle time (%)                      |       0.0% |      65.7%
Branch predictor stats               |            |           
  num correct                        |    3132660 |    1394235
  num incorrect                      |     198883 |      67139
  misprediction rate                 |      5.97% |      4.59%
  mpki                               |       8.00 |      11.06
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3653378 |     534881
    num misses                       |        176 |         28
    miss rate                        |      0.00% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6207434 |    1866841
    num misses                       |       5167 |       3736
    miss rate                        |      0.08% |      0.20%
    mpki                             |       0.21 |       0.62
  L2 TLB                             |            |           
    num accesses                     |       5343 |       3764
    num misses                       |        735 |        265
    miss rate                        |     13.76% |      7.04%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3653378 |     534881
    num cache misses                 |       3572 |        307
    miss rate                        |      0.10% |      0.06%
    mpki                             |       0.14 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    6207434 |    1866841
    num cache misses                 |     100452 |      74822
    miss rate                        |      1.62% |      4.01%
    mpki                             |       4.04 |      12.33
  Cache L2                           |            |           
    num cache accesses               |     106142 |      75134
    num cache misses                 |      78560 |      58176
    miss rate                        |     74.01% |     77.43%
    mpki                             |       3.16 |       9.58
  Cache L3                           |            |           
    num cache accesses               |      80775 |      58218
    num cache misses                 |      22554 |       4073
    miss rate                        |     27.92% |      7.00%
    mpki                             |       0.91 |       0.67
DRAM summary                         |            |           
  num dram accesses                  |      26603 |          0
  average dram access latency (ns)   |      61.52 |        inf
  average dram queueing delay        |       0.26 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      12025 |       2007
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
