                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  309233943 |  309182164 |  306801507 |  306427780 |  307154434 |  307967037
  Cycles                             |  108476300 |  108476300 |  108476300 |  108476300 |  108476300 |  108476300
  IPC                                |       2.85 |       2.85 |       2.83 |       2.82 |       2.83 |       2.84
  Time (ns)                          |  108476300 |  108476300 |  108476300 |  108476300 |  108476300 |  108476300
  Idle time (ns)                     |       8344 |     533101 |    1557259 |    1682865 |    6500744 |    6324503
  Idle time (%)                      |       0.0% |       0.5% |       1.4% |       1.6% |       6.0% |       5.8%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   17565930 |   17701034 |   28832337 |   28707926 |   28950173 |   29221071
  num incorrect                      |     118019 |     110625 |      96437 |      96425 |      96489 |      96487
  misprediction rate                 |      0.67% |      0.62% |      0.33% |      0.33% |      0.33% |      0.33%
  mpki                               |       0.38 |       0.36 |       0.31 |       0.31 |       0.31 |       0.31
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   27576756 |   27462611 |   23647186 |   23647076 |   23647023 |   23646991
    num misses                       |        205 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |  102890169 |  102648903 |   95268603 |   95206044 |   95327115 |   95462441
    num misses                       |      65119 |      65119 |      55955 |      54334 |      56205 |      57014
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.21 |       0.21 |       0.18 |       0.18 |       0.18 |       0.19
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      65324 |      65144 |      55980 |      54359 |      56230 |      57039
    num misses                       |      18529 |      17768 |      15133 |      14850 |      15057 |      14861
    miss rate                        |     28.36% |     27.27% |     27.03% |     27.32% |     26.78% |     26.05%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   27576756 |   27462611 |   23647186 |   23647076 |   23647023 |   23646991
    num cache misses                 |      31404 |      20429 |      17519 |      17515 |      17555 |      17590
    miss rate                        |      0.11% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.10 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |  102890169 |  102648903 |   95268603 |   95206044 |   95327115 |   95462441
    num cache misses                 |   11601530 |   11584070 |   10001330 |   10001133 |   10001679 |   10000208
    miss rate                        |     11.28% |     11.29% |     10.50% |     10.50% |     10.49% |     10.48%
    mpki                             |      37.52 |      37.47 |      32.60 |      32.64 |      32.56 |      32.47
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |   11782727 |   11752524 |   10141904 |   10141340 |   10141891 |   10140786
    num cache misses                 |    1382162 |    1365047 |    1169937 |    1156514 |    1132551 |    1127444
    miss rate                        |     11.73% |     11.61% |     11.54% |     11.40% |     11.17% |     11.12%
    mpki                             |       4.47 |       4.42 |       3.81 |       3.77 |       3.69 |       3.66
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |    2040031 |    2031137 |    1738244 |    1717651 |    1479965 |    1458258
    num cache misses                 |    1161738 |    1156768 |     991915 |     978414 |     679370 |     656563
    miss rate                        |     56.95% |     56.95% |     57.06% |     56.96% |     45.90% |     45.02%
    mpki                             |       3.76 |       3.74 |       3.23 |       3.19 |       2.21 |       2.13
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |    4914816 |          0 |          0 |          0 |    4915596 |          0
  average dram access latency (ns)   |      62.83 |        inf |        inf |        inf |      62.16 |        inf
  average dram queueing delay        |       1.58 |       0.00 |       0.00 |       0.00 |       0.91 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      5.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |     712072 |     718507 |     621225 |     628836 |     393248 |     386906
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      74799 |      68496 |      52790 |      36857 |      58259 |      41256
