feature,importance
num_threads,0.08615883
bench_class_enc,0.00066901295
avg_ipc,0.017518297
ipc_cv,0.016481407
pe_ratio,0.01304232
local_ratio,0.1037587
remote_ratio,0.0
l2_intensity,0.18451689
l3_intensity,0.021202937
mem_intensity,0.015903614
read_ratio,0.11597095
cpi_l3_ratio,0.019465292
cpi_dram_local_ratio,0.040522553
cpi_dram_remote_ratio,0.03277984
cpi_branch_ratio,0.02564899
cpi_sync_ratio,0.012217075
uop_load_ratio,0.004954344
uop_store_ratio,0.0071569826
uop_fp_ratio,0.06534186
dtlb_miss_rate,0.014961422
branch_mispredict_rate,0.025599662
avg_dram_latency,0.03373503
dram_queue_ratio,0.019457752
l1d_hit_ratio,0.05769047
futex_wake_per_minst,0.013867041
mem_bw_mbps,0.030289264
operational_intensity,0.0041037058
itlb_miss_rate,0.0035011086
stlb_miss_rate,0.007575125
load_l1_ratio,0.005909517
