                                     | Core 0      | Core 1     | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |     9633676 |    4726594 |   424434665 |   393905718 |  1445537407 |     3780545
  Cycles                             |  1196962530 |  908040540 |  1196962530 |  1196962530 |  1196962530 |  1196962530
  IPC                                |        0.01 |       0.01 |        0.35 |        0.33 |        1.21 |        0.00
  Time (ns)                          |   412745700 |  412745700 |   412745700 |   412745700 |   412745700 |   412745700
  Idle time (ns)                     |   409852855 |  410219188 |   166834581 |   355228952 |     6976107 |   411577370
  Idle time (%)                      |       99.3% |      99.4% |       40.4% |       86.1% |        1.7% |       99.7%
Branch predictor stats               |             |            |             |             |             |            
  num correct                        |     1273805 |     228219 |    21345752 |      603196 |   172800987 |      414942
  num incorrect                      |        7563 |        729 |        2759 |        9439 |     8129052 |        5326
  misprediction rate                 |       0.59% |      0.32% |       0.01% |       1.54% |       4.49% |       1.27%
  mpki                               |        0.79 |       0.15 |        0.01 |        0.02 |        5.62 |        1.41
TLB Summary                          |             |            |             |             |             |            
  I-TLB                              |             |            |             |             |             |            
    num accesses                     |     1522093 |     430470 |    32076509 |    22171520 |   164871452 |      543560
    num misses                       |         112 |         36 |          33 |          39 |          47 |          41
    miss rate                        |       0.01% |      0.01% |       0.00% |       0.00% |       0.00% |       0.01%
    mpki                             |        0.01 |       0.01 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |            |             |             |             |            
    num accesses                     |     4800223 |    4059328 |   286161950 |    92143515 |   703497611 |     2039525
    num misses                       |       12307 |       5345 |        2822 |        8787 |       93276 |        1712
    miss rate                        |       0.26% |      0.13% |       0.00% |       0.01% |       0.01% |       0.08%
    mpki                             |        1.28 |       1.13 |        0.01 |        0.02 |        0.06 |        0.45
  L2 TLB                             |             |            |             |             |             |            
    num accesses                     |       12419 |       5381 |        2855 |        8826 |       93323 |        1753
    num misses                       |        3274 |       5324 |        2816 |        6368 |        5307 |        1117
    miss rate                        |      26.36% |     98.94% |      98.63% |      72.15% |       5.69% |      63.72%
    mpki                             |        0.34 |       1.13 |        0.01 |        0.02 |        0.00 |        0.30
Cache Summary                        |             |            |             |             |             |            
  Cache L1-I                         |             |            |             |             |             |            
    num cache accesses               |     1522093 |     430470 |    32076509 |    22171520 |   164871452 |      543560
    num cache misses                 |        1838 |        562 |        1082 |        2827 |       92191 |         800
    miss rate                        |       0.12% |      0.13% |       0.00% |       0.01% |       0.06% |       0.15%
    mpki                             |        0.19 |       0.12 |        0.00 |        0.01 |        0.06 |        0.21
  Cache L1-D                         |             |            |             |             |             |            
    num cache accesses               |     4800223 |    4059328 |   286161950 |    92143515 |   703497611 |     2039525
    num cache misses                 |      169022 |     334385 |      179351 |      188357 |    10024493 |       18486
    miss rate                        |       3.52% |      8.24% |       0.06% |       0.20% |       1.42% |       0.91%
    mpki                             |       17.54 |      70.75 |        0.42 |        0.48 |        6.93 |        4.89
  Cache L2                           |             |            |             |             |             |            
    num cache accesses               |      237252 |     483375 |      181747 |      194084 |    10124008 |       19728
    num cache misses                 |      158592 |     333605 |      178136 |      189292 |      278871 |       16146
    miss rate                        |      66.85% |     69.02% |      98.01% |      97.53% |       2.75% |      81.84%
    mpki                             |       16.46 |      70.58 |        0.42 |        0.48 |        0.19 |        4.27
  Cache L3                           |             |            |             |             |             |            
    num cache accesses               |      224989 |     482034 |      179586 |      192194 |      287493 |       16601
    num cache misses                 |      157801 |     332961 |      176289 |       13159 |      259016 |        1034
    miss rate                        |      70.14% |     69.07% |      98.16% |       6.85% |      90.09% |       6.23%
    mpki                             |       16.38 |      70.44 |        0.42 |        0.03 |        0.18 |        0.27
DRAM summary                         |             |            |             |             |             |            
  num dram accesses                  |      301921 |          0 |      301895 |           0 |      301899 |           0
  average dram access latency (ns)   |       61.26 |        inf |       61.26 |         inf |       61.26 |         inf
  average dram queueing delay        |        0.01 |       0.00 |        0.01 |        0.00 |        0.01 |        0.00
  average dram bandwidth utilization |       0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |            |             |             |             |            
  num loads from dram                |       71258 |     314253 |       69091 |        7504 |       96980 |         313
  num loads from dram cache          |           0 |          0 |           0 |           0 |           0 |           0
  num loads from remote cache        |        9912 |         14 |       98670 |         490 |       76573 |         292
