                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       7.01 |       7.21 |       3.94 |       4.13 |      11.10 |      15.13 |        inf |        inf |       8.04 |       8.14 |       8.08 |       7.11 |       5.97 |       6.36 |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      43698 |      44002 |      28142 |      30895 |      56843 |      85915 |          0 |          0 |      49611 |      44503 |      44718 |      44171 |      37609 |      39596 |          0 |          0
    num cache misses                 |      15605 |      17811 |      12127 |      12378 |      19340 |      22971 |          0 |          0 |      16626 |      15294 |      15454 |      17464 |      12522 |      13158 |          0 |          0
    miss rate                        |     35.71% |     40.48% |     43.09% |     40.06% |     34.02% |     26.74% |       inf% |       inf% |     33.51% |     34.37% |     34.56% |     39.54% |     33.30% |     33.23% |       inf% |       inf%
    mpki                             |       2.81 |       3.25 |       1.93 |       1.96 |       4.12 |       4.85 |        inf |        inf |       3.10 |       2.94 |       2.98 |       3.17 |       2.22 |       2.36 |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      24025 |      26797 |      17685 |      19036 |      28406 |      36716 |          0 |          0 |      27630 |      21749 |      21979 |      26661 |      19091 |      20148 |          0 |          0
    num cache misses                 |      10218 |       9148 |       7453 |       8100 |       6785 |      20546 |          0 |          0 |      12898 |       4334 |       7518 |      15357 |      10665 |      10439 |          0 |          0
    miss rate                        |     42.53% |     34.14% |     42.14% |     42.55% |     23.89% |     55.96% |       inf% |       inf% |     46.68% |     19.93% |     34.21% |     57.60% |     55.86% |     51.81% |       inf% |       inf%
    mpki                             |       1.84 |       1.67 |       1.18 |       1.28 |       1.44 |       4.33 |        inf |        inf |       2.41 |       0.83 |       1.45 |       2.79 |       1.89 |       1.87 |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      18587 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |       8883 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     244.43 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     461.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     183.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     400.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |         64 |         71 |         54 |         60 |        167 |       5266 |          0 |          0 |         33 |        170 |        157 |         21 |         21 |         19 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7852 |       7086 |       5795 |       6169 |       4704 |       7000 |          0 |          0 |      10408 |       2154 |       4837 |      12484 |       8433 |       8108 |          0 |          0
