                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |      2.75% |      2.74% |      2.73% |      2.71% |      3.75% |      3.72% |      3.71% |      3.67% |      2.72% |      2.72% |      2.72% |      2.72% |      3.70% |      3.75% |      3.76% |      3.73%
    mpki                             |       9.51 |       9.41 |       9.37 |       9.32 |      13.84 |      13.74 |      13.69 |      13.76 |       9.34 |       9.34 |       9.32 |       9.33 |      13.66 |      13.84 |      13.88 |      13.77
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     475468 |     467372 |     475756 |     469918 |     582840 |     581775 |     580524 |     593409 |     474455 |     469242 |     471118 |     468074 |     582840 |     579392 |     588759 |     582764
    num cache misses                 |     166733 |     170350 |     163549 |     169218 |     242147 |     241438 |     241210 |     256151 |     169910 |     165395 |     163668 |     167722 |     242435 |     241096 |     242733 |     242473
    miss rate                        |     35.07% |     36.45% |     34.38% |     36.01% |     41.55% |     41.50% |     41.55% |     43.17% |     35.81% |     35.25% |     34.74% |     35.83% |     41.60% |     41.61% |     41.23% |     41.61%
    mpki                             |       3.90 |       3.97 |       3.72 |       3.91 |       6.44 |       6.38 |       6.36 |       6.67 |       3.93 |       3.80 |       3.73 |       3.87 |       6.35 |       6.42 |       6.41 |       6.43
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     265000 |     263237 |     256421 |     265107 |     304342 |     301963 |     301700 |     317255 |     268892 |     256575 |     255841 |     260033 |     303169 |     299307 |     305494 |     304795
    num cache misses                 |      95426 |      91898 |      97354 |      92538 |      94102 |      87646 |      84168 |      95519 |     104055 |      83575 |      97932 |      97744 |      92448 |      85896 |      86509 |      81605
    miss rate                        |     36.01% |     34.91% |     37.97% |     34.91% |     30.92% |     29.03% |     27.90% |     30.11% |     38.70% |     32.57% |     38.28% |     37.59% |     30.49% |     28.70% |     28.32% |     26.77%
    mpki                             |       2.23 |       2.14 |       2.22 |       2.14 |       2.50 |       2.32 |       2.22 |       2.49 |       2.41 |       1.92 |       2.23 |       2.26 |       2.42 |       2.29 |       2.29 |       2.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      79484 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      68299 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    7121.87 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |    8237.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    7060.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    8175.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |         82 |         75 |         63 |         75 |         71 |         58 |         56 |       6609 |         41 |         19 |         22 |         29 |         26 |         40 |         28 |         33
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      72726 |      72654 |      70441 |      73382 |      70255 |      68366 |      66282 |      65168 |      75216 |      69956 |      69608 |      69542 |      69418 |      67332 |      68794 |      68524
