                                     | Core 0     | Core 1    
  Instructions                       |  115004766 |  118326131
  Cycles                             |   51669200 |   51669200
  IPC                                |       2.23 |       2.29
  Time (ns)                          |   12917300 |   12917300
  Idle time (ns)                     |        295 |     248243
  Idle time (%)                      |       0.0% |       1.9%
Branch predictor stats               |            |           
  num correct                        |    3238256 |    4676440
  num incorrect                      |      34383 |      24526
  misprediction rate                 |      1.05% |      0.52%
  mpki                               |       0.30 |       0.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   10562003 |   10319566
    num misses                       |        241 |         33
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   49578961 |   49603598
    num misses                       |      10264 |      37934
    miss rate                        |      0.02% |      0.08%
    mpki                             |       0.09 |       0.32
  L2 TLB                             |            |           
    num accesses                     |      10505 |      37967
    num misses                       |        575 |        168
    miss rate                        |      5.47% |      0.44%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   10562003 |   10319566
    num cache misses                 |      70181 |      48680
    miss rate                        |      0.66% |      0.47%
    mpki                             |       0.61 |       0.41
  Cache L1-D                         |            |           
    num cache accesses               |   49578961 |   49603598
    num cache misses                 |    2544695 |    2482283
    miss rate                        |      5.13% |      5.00%
    mpki                             |      22.13 |      20.98
  Cache L2                           |            |           
    num cache accesses               |    2670987 |    2581613
    num cache misses                 |      96335 |      91915
    miss rate                        |      3.61% |      3.56%
    mpki                             |       0.84 |       0.78
  Cache L3                           |            |           
    num cache accesses               |     183363 |     170086
    num cache misses                 |      14095 |       3250
    miss rate                        |      7.69% |      1.91%
    mpki                             |       0.12 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |      17303 |          0
  average dram access latency (ns)   |      82.93 |        inf
  average dram queueing delay        |      21.68 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6823 |         47
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
