                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45210123 |    6595986 |    5524013 |    6312861 |    6409970 |    6327521
  Cycles                             |  129616000 |  129616000 |  129616000 |  129616000 |   32404000 |   32404000
  IPC                                |       0.35 |       0.05 |       0.04 |       0.05 |       0.20 |       0.20
  Time (ns)                          |   32404000 |   32404000 |   32404000 |   32404000 |   32404000 |   32404000
  Idle time (ns)                     |     200824 |   26824208 |   26668554 |   26668033 |   26761078 |   26863462
  Idle time (%)                      |       0.6% |      82.8% |      82.3% |      82.3% |      82.6% |      82.9%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5055001 |    1825562 |    1345633 |    1672109 |    1768558 |    1755219
  num incorrect                      |     350542 |      36090 |      57132 |      45516 |      35963 |      32797
  misprediction rate                 |      6.48% |      1.94% |      4.07% |      2.65% |      1.99% |      1.83%
  mpki                               |       7.75 |       5.47 |      10.34 |       7.21 |       5.61 |       5.18
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    5336663 |     330911 |     453917 |     395456 |     326045 |     316293
    num misses                       |        174 |         29 |         27 |         27 |         26 |         26
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10447372 |    1632169 |    1547752 |    1627970 |    1600092 |    1571007
    num misses                       |      13688 |      12152 |      12269 |      12291 |      12188 |      12187
    miss rate                        |      0.13% |      0.74% |      0.79% |      0.75% |      0.76% |      0.78%
    mpki                             |       0.30 |       1.84 |       2.22 |       1.95 |       1.90 |       1.93
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13862 |      12181 |      12296 |      12318 |      12214 |      12213
    num misses                       |        901 |        335 |        347 |        339 |        309 |        314
    miss rate                        |      6.50% |      2.75% |      2.82% |      2.75% |      2.53% |      2.57%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    5336663 |     330911 |     453917 |     395456 |     326045 |     316293
    num cache misses                 |       2935 |        183 |        175 |        177 |        236 |        234
    miss rate                        |      0.05% |      0.06% |      0.04% |      0.04% |      0.07% |      0.07%
    mpki                             |       0.06 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10447372 |    1632169 |    1547752 |    1627970 |    1600092 |    1571007
    num cache misses                 |      99927 |      67296 |      68888 |      68338 |      67562 |      67526
    miss rate                        |      0.96% |      4.12% |      4.45% |      4.20% |      4.22% |      4.30%
    mpki                             |       2.21 |      10.20 |      12.47 |      10.83 |      10.54 |      10.67
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     104985 |      67484 |      69067 |      68517 |      67800 |      67761
    num cache misses                 |      83331 |      59297 |      60081 |      60126 |      59935 |      59953
    miss rate                        |     79.37% |     87.87% |     86.99% |     87.75% |     88.40% |     88.48%
    mpki                             |       1.84 |       8.99 |      10.88 |       9.52 |       9.35 |       9.47
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      85785 |      59338 |      60126 |      60171 |      59976 |      59961
    num cache misses                 |      25809 |       2684 |       2900 |       2825 |       2630 |       2670
    miss rate                        |     30.09% |      4.52% |      4.82% |      4.69% |      4.39% |      4.45%
    mpki                             |       0.57 |       0.41 |       0.52 |       0.45 |       0.41 |       0.42
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      39434 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.36 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      11590 |       1397 |       1465 |       1449 |       1358 |       1473
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
