                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11837459 |    3529329 |    3128128 |    3555993
  Cycles                             |    8496300 |    8496300 |    8496300 |    8496300
  IPC                                |       1.39 |       0.42 |       0.37 |       0.42
  Time (ns)                          |    8496300 |    8496300 |    8496300 |    8496300
  Idle time (ns)                     |       1391 |    6055997 |    6056806 |    6057315
  Idle time (%)                      |       0.0% |      71.3% |      71.3% |      71.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    1427161 |    1035360 |     869659 |    1049737
  num incorrect                      |      86905 |      14012 |      19850 |      13332
  misprediction rate                 |      5.74% |      1.34% |      2.23% |      1.25%
  mpki                               |       7.34 |       3.97 |       6.35 |       3.75
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1675406 |      73483 |      82197 |      70115
    num misses                       |        177 |         25 |         27 |         25
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2645780 |     781474 |     740296 |     780012
    num misses                       |       1318 |        163 |        157 |        165
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.11 |       0.05 |       0.05 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |       1495 |        188 |        184 |        190
    num misses                       |        582 |        148 |        140 |        146
    miss rate                        |     38.93% |     78.72% |     76.09% |     76.84%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1675406 |      73483 |      82197 |      70115
    num cache misses                 |       3063 |        191 |        198 |        193
    miss rate                        |      0.18% |      0.26% |      0.24% |      0.28%
    mpki                             |       0.26 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2645780 |     781474 |     740296 |     780012
    num cache misses                 |      46616 |      22974 |      23317 |      22977
    miss rate                        |      1.76% |      2.94% |      3.15% |      2.95%
    mpki                             |       3.94 |       6.51 |       7.45 |       6.46
  Cache L2                           |            |            |            |           
    num cache accesses               |      51848 |      23170 |      23518 |      23173
    num cache misses                 |      38449 |      20576 |      20849 |      20622
    miss rate                        |     74.16% |     88.80% |     88.65% |     88.99%
    mpki                             |       3.25 |       5.83 |       6.67 |       5.80
  Cache L3                           |            |            |            |           
    num cache accesses               |      40798 |      20588 |      20856 |      20635
    num cache misses                 |      17460 |       1066 |       1138 |       1070
    miss rate                        |     42.80% |      5.18% |      5.46% |      5.19%
    mpki                             |       1.47 |       0.30 |       0.36 |       0.30
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20690 |          0 |          0 |          0
  average dram access latency (ns)   |      61.35 |        inf |        inf |        inf
  average dram queueing delay        |       0.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10790 |        488 |        551 |        517
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
