                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45115419 |    6532946 |    5483083 |    6277155 |    7154001 |    7031762
  Cycles                             |   34454400 |   34454400 |   34454400 |   34454400 |   34454400 |   34454400
  IPC                                |       1.31 |       0.19 |       0.16 |       0.18 |       0.21 |       0.20
  Time (ns)                          |    8613600 |    8613600 |    8613600 |    8613600 |    8613600 |    8613600
  Idle time (ns)                     |      55478 |    7061105 |    7018780 |    7017888 |    7064898 |    7088381
  Idle time (%)                      |       0.6% |      82.0% |      81.5% |      81.5% |      82.0% |      82.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5020977 |    1804154 |    1330422 |    1662475 |    2015385 |    1990628
  num incorrect                      |     356288 |      36001 |      57098 |      45953 |      35603 |      33172
  misprediction rate                 |      6.63% |      1.96% |      4.12% |      2.69% |      1.74% |      1.64%
  mpki                               |       7.90 |       5.51 |      10.41 |       7.32 |       4.98 |       4.72
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    5899863 |     333655 |     455012 |     389872 |     328860 |     314028
    num misses                       |        169 |         28 |         26 |         26 |         28 |         26
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10432066 |    1622052 |    1543035 |    1622686 |    1724950 |    1689038
    num misses                       |      13637 |      12148 |      12373 |      12291 |      12228 |      12243
    miss rate                        |      0.13% |      0.75% |      0.80% |      0.76% |      0.71% |      0.72%
    mpki                             |       0.30 |       1.86 |       2.26 |       1.96 |       1.71 |       1.74
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13806 |      12176 |      12399 |      12317 |      12256 |      12269
    num misses                       |        875 |        343 |        357 |        351 |        337 |        342
    miss rate                        |      6.34% |      2.82% |      2.88% |      2.85% |      2.75% |      2.79%
    mpki                             |       0.02 |       0.05 |       0.07 |       0.06 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    5899863 |     333655 |     455012 |     389872 |     328860 |     314028
    num cache misses                 |       2928 |        182 |        176 |        177 |        177 |        174
    miss rate                        |      0.05% |      0.05% |      0.04% |      0.05% |      0.05% |      0.06%
    mpki                             |       0.06 |       0.03 |       0.03 |       0.03 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10432066 |    1622052 |    1543035 |    1622686 |    1724950 |    1689038
    num cache misses                 |      99807 |      67470 |      68969 |      68225 |      67248 |      67113
    miss rate                        |      0.96% |      4.16% |      4.47% |      4.20% |      3.90% |      3.97%
    mpki                             |       2.21 |      10.33 |      12.58 |      10.87 |       9.40 |       9.54
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105293 |      67998 |      69601 |      68842 |      69748 |      69543
    num cache misses                 |      83286 |      59405 |      60092 |      59952 |      59101 |      59013
    miss rate                        |     79.10% |     87.36% |     86.34% |     87.09% |     84.74% |     84.86%
    mpki                             |       1.85 |       9.09 |      10.96 |       9.55 |       8.26 |       8.39
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      86166 |      59798 |      60600 |      60460 |      61461 |      61273
    num cache misses                 |      45822 |      24501 |      24741 |      24312 |      47417 |      47423
    miss rate                        |     53.18% |     40.97% |     40.83% |     40.21% |     77.15% |     77.40%
    mpki                             |       1.02 |       3.75 |       4.51 |       3.87 |       6.63 |       6.74
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      18901 |          0 |          0 |          0 |      18857 |          0
  average dram access latency (ns)   |      61.44 |        inf |        inf |        inf |      61.44 |        inf
  average dram queueing delay        |       0.19 |       0.00 |       0.00 |       0.00 |       0.19 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      11001 |        919 |        928 |        868 |        291 |        273
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8782 |       8613 |       8712 |       8843 |       8832 |       8651
