                                     | Core 0     | Core 1    
  Instructions                       |   48892309 |   10875240
  Cycles                             |   40691600 |   40691600
  IPC                                |       1.20 |       0.27
  Time (ns)                          |   10172900 |   10172900
  Idle time (ns)                     |       1426 |    6961598
  Idle time (%)                      |       0.0% |      68.4%
Branch predictor stats               |            |           
  num correct                        |    5337383 |    2402316
  num incorrect                      |     444248 |     115550
  misprediction rate                 |      7.68% |      4.59%
  mpki                               |       9.09 |      10.63
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    5853715 |     768080
    num misses                       |        174 |         50
    miss rate                        |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12267146 |    3480053
    num misses                       |      37448 |      35977
    miss rate                        |      0.31% |      1.03%
    mpki                             |       0.77 |       3.31
  L2 TLB                             |            |           
    num accesses                     |      37622 |      36027
    num misses                       |        981 |        532
    miss rate                        |      2.61% |      1.48%
    mpki                             |       0.02 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    5853715 |     768080
    num cache misses                 |       3531 |        575
    miss rate                        |      0.06% |      0.07%
    mpki                             |       0.07 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |   12267146 |    3480053
    num cache misses                 |     198045 |     163390
    miss rate                        |      1.61% |      4.70%
    mpki                             |       4.05 |      15.02
  Cache L2                           |            |           
    num cache accesses               |     203688 |     163973
    num cache misses                 |     137653 |     115181
    miss rate                        |     67.58% |     70.24%
    mpki                             |       2.82 |      10.59
  Cache L3                           |            |           
    num cache accesses               |     139942 |     115291
    num cache misses                 |      30865 |       8193
    miss rate                        |     22.06% |      7.11%
    mpki                             |       0.63 |       0.75
DRAM summary                         |            |           
  num dram accesses                  |      39026 |          0
  average dram access latency (ns)   |      61.71 |        inf
  average dram queueing delay        |       0.46 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      13750 |       3942
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
