                                     | Core 0     | Core 1    
  Instructions                       |   24844292 |    6006131
  Cycles                             |   20025600 |   20025600
  IPC                                |       1.24 |       0.30
  Time (ns)                          |    5006400 |    5006400
  Idle time (ns)                     |       1315 |    3412973
  Idle time (%)                      |       0.0% |      68.2%
Branch predictor stats               |            |           
  num correct                        |    3124547 |    1371292
  num incorrect                      |     199284 |      67035
  misprediction rate                 |      6.00% |      4.66%
  mpki                               |       8.02 |      11.16
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3661478 |     537363
    num misses                       |        177 |         26
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6203300 |    1856785
    num misses                       |       5274 |       3772
    miss rate                        |      0.09% |      0.20%
    mpki                             |       0.21 |       0.63
  L2 TLB                             |            |           
    num accesses                     |       5451 |       3798
    num misses                       |        729 |        253
    miss rate                        |     13.37% |      6.66%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3661478 |     537363
    num cache misses                 |       2806 |        185
    miss rate                        |      0.08% |      0.03%
    mpki                             |       0.11 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    6203300 |    1856785
    num cache misses                 |     100266 |      74682
    miss rate                        |      1.62% |      4.02%
    mpki                             |       4.04 |      12.43
  Cache L2                           |            |           
    num cache accesses               |     106130 |      77992
    num cache misses                 |      72910 |      56265
    miss rate                        |     68.70% |     72.14%
    mpki                             |       2.93 |       9.37
  Cache L3                           |            |           
    num cache accesses               |      76144 |      59463
    num cache misses                 |      72090 |      56255
    miss rate                        |     94.68% |     94.61%
    mpki                             |       2.90 |       9.37
DRAM summary                         |            |           
  num dram accesses                  |      13322 |      13278
  average dram access latency (ns)   |      61.37 |      61.36
  average dram queueing delay        |       0.12 |       0.11
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10184 |         12
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1204 |       3815
