                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11955830 |    3762844 |    3248215 |    3787039
  Cycles                             |    9972800 |    9972800 |    9972800 |    9972800
  IPC                                |       1.20 |       0.38 |       0.33 |       0.38
  Time (ns)                          |    2493200 |    2493200 |    2493200 |    2493200
  Idle time (ns)                     |       1582 |    1835899 |    1836128 |    1836251
  Idle time (%)                      |       0.1% |      73.6% |      73.6% |      73.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    1460121 |    1103641 |     895399 |    1118114
  num incorrect                      |      86159 |      14235 |      20013 |      13315
  misprediction rate                 |      5.57% |      1.27% |      2.19% |      1.18%
  mpki                               |       7.21 |       3.78 |       6.16 |       3.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1260825 |      55271 |      66743 |      53560
    num misses                       |        175 |         28 |         44 |         27
    miss rate                        |      0.01% |      0.05% |      0.07% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2666274 |     822290 |     767978 |     820913
    num misses                       |       1542 |        166 |        211 |        162
    miss rate                        |      0.06% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.06 |       0.04
  L2 TLB                             |            |            |            |           
    num accesses                     |       1717 |        194 |        255 |        189
    num misses                       |        590 |        147 |        168 |        143
    miss rate                        |     34.36% |     75.77% |     65.88% |     75.66%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1260825 |      55271 |      66743 |      53560
    num cache misses                 |       2722 |        191 |        387 |        190
    miss rate                        |      0.22% |      0.35% |      0.58% |      0.35%
    mpki                             |       0.23 |       0.05 |       0.12 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2666274 |     822290 |     767978 |     820913
    num cache misses                 |      46465 |      22822 |      23990 |      22964
    miss rate                        |      1.74% |      2.78% |      3.12% |      2.80%
    mpki                             |       3.89 |       6.07 |       7.39 |       6.06
  Cache L2                           |            |            |            |           
    num cache accesses               |      51492 |      23305 |      25175 |      23906
    num cache misses                 |      36869 |      20446 |      21227 |      20617
    miss rate                        |     71.60% |     87.73% |     84.32% |     86.24%
    mpki                             |       3.08 |       5.43 |       6.53 |       5.44
  Cache L3                           |            |            |            |           
    num cache accesses               |      39347 |      20752 |      22097 |      21376
    num cache misses                 |      29975 |      13273 |      14796 |      14239
    miss rate                        |     76.18% |     63.96% |     66.96% |     66.61%
    mpki                             |       2.51 |       3.53 |       4.56 |       3.76
DRAM summary                         |            |            |            |           
  num dram accesses                  |      10496 |          0 |      10448 |          0
  average dram access latency (ns)   |      61.43 |        inf |      61.39 |        inf
  average dram queueing delay        |       0.18 |       0.00 |       0.14 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10314 |        234 |        217 |        142
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       3075 |       2987 |       3981 |       3837
