                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   24173340 |   24359345 |   24377122 |   24203883 |   24153222 |   24116663 |   24403382 |   23994114 |   23880195 |   23576925 |   23466195 |   23298695 |   23394067 |   23397180 |   23206801 |   23474005
  Cycles                             |   45499600 |   45499600 |   45499600 |   45499600 |   11374900 |   11374900 |   11374900 |   11374900 |   45499600 |   45499600 |   45499600 |   45499600 |   11374900 |   11374900 |   11374900 |   11374900
  IPC                                |       0.53 |       0.54 |       0.54 |       0.53 |       2.12 |       2.12 |       2.15 |       2.11 |       0.52 |       0.52 |       0.52 |       0.51 |       2.06 |       2.06 |       2.04 |       2.06
  Time (ns)                          |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900 |   11374900
  Idle time (ns)                     |     459436 |     848668 |     767924 |     686227 |     620128 |     550153 |     481923 |     472378 |     472849 |     473249 |     473646 |     474045 |     474444 |     474847 |     475247 |     476645
  Idle time (%)                      |       4.0% |       7.5% |       6.8% |       6.0% |       5.5% |       4.8% |       4.2% |       4.2% |       4.2% |       4.2% |       4.2% |       4.2% |       4.2% |       4.2% |       4.2% |       4.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4310438 |    4681652 |    4706642 |    4508509 |    4567370 |    4557068 |    4813112 |    4476872 |    4564274 |    4369012 |    4395733 |    4249306 |    4276789 |    4117307 |    4195366 |    4436697
  num incorrect                      |      26807 |      17390 |      18689 |      19732 |      20444 |      21039 |      20350 |      21703 |      21351 |      21732 |      21595 |      21871 |      21344 |      20856 |      20532 |      17909
  misprediction rate                 |      0.62% |      0.37% |      0.40% |      0.44% |      0.45% |      0.46% |      0.42% |      0.48% |      0.47% |      0.49% |      0.49% |      0.51% |      0.50% |      0.50% |      0.49% |      0.40%
  mpki                               |       1.11 |       0.71 |       0.77 |       0.82 |       0.85 |       0.87 |       0.83 |       0.90 |       0.89 |       0.92 |       0.92 |       0.94 |       0.91 |       0.89 |       0.88 |       0.76
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     930426 |     741179 |     758433 |     789424 |     777042 |     778914 |     737108 |     811569 |     775580 |     807528 |     798528 |     847331 |     829713 |     906618 |     880567 |     768158
    num misses                       |        239 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8810653 |    8395597 |    8362859 |    8516418 |    8403252 |    8392206 |    8226932 |    8410914 |    8231311 |    8299220 |    8192102 |    8277443 |    8300472 |    8501514 |    8280306 |    8142247
    num misses                       |       2273 |        264 |        248 |        234 |        217 |        224 |        843 |        234 |        228 |        240 |        232 |        251 |        251 |        278 |        260 |       1070
    miss rate                        |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.09 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2512 |        291 |        275 |        261 |        244 |        251 |        870 |        261 |        255 |        267 |        259 |        278 |        278 |        305 |        287 |       1097
    num misses                       |        548 |        178 |        174 |        177 |        171 |        171 |        169 |        173 |        168 |        173 |        172 |        172 |        173 |        171 |        173 |        167
    miss rate                        |     21.82% |     61.17% |     63.27% |     67.82% |     70.08% |     68.13% |     19.43% |     66.28% |     65.88% |     64.79% |     66.41% |     61.87% |     62.23% |     56.07% |     60.28% |     15.22%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     930426 |     741179 |     758433 |     789424 |     777042 |     778914 |     737108 |     811569 |     775580 |     807528 |     798528 |     847331 |     829713 |     906618 |     880567 |     768158
    num cache misses                 |      12562 |        295 |        292 |        294 |        345 |        350 |        338 |        346 |        291 |        294 |        292 |        294 |        340 |        362 |        350 |        336
    miss rate                        |      1.35% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.52 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8810653 |    8395597 |    8362859 |    8516418 |    8403252 |    8392206 |    8226932 |    8410914 |    8231311 |    8299220 |    8192102 |    8277443 |    8300472 |    8501514 |    8280306 |    8142247
    num cache misses                 |     664379 |     632198 |     620343 |     645102 |     632635 |     632272 |     597383 |     627965 |     604429 |     625176 |     599409 |     614094 |     621005 |     646458 |     624032 |     591034
    miss rate                        |      7.54% |      7.53% |      7.42% |      7.57% |      7.53% |      7.53% |      7.26% |      7.47% |      7.34% |      7.53% |      7.32% |      7.42% |      7.48% |      7.60% |      7.54% |      7.26%
    mpki                             |      27.48 |      25.95 |      25.45 |      26.65 |      26.19 |      26.22 |      24.48 |      26.17 |      25.31 |      26.52 |      25.54 |      26.36 |      26.55 |      27.63 |      26.89 |      25.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     685709 |     638139 |     626301 |     651171 |     638583 |     638199 |     603281 |     633872 |     611123 |     631130 |     605294 |     619597 |     626992 |     653450 |     629984 |     596142
    num cache misses                 |      91133 |      81991 |      81673 |      81036 |      81945 |      81796 |      81720 |      82918 |      82126 |      81766 |      81033 |      81613 |      81423 |      81174 |      81976 |      81986
    miss rate                        |     13.29% |     12.85% |     13.04% |     12.44% |     12.83% |     12.82% |     13.55% |     13.08% |     13.44% |     12.96% |     13.39% |     13.17% |     12.99% |     12.42% |     13.01% |     13.75%
    mpki                             |       3.77 |       3.37 |       3.35 |       3.35 |       3.39 |       3.39 |       3.35 |       3.46 |       3.44 |       3.47 |       3.45 |       3.50 |       3.48 |       3.47 |       3.53 |       3.49
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     102622 |      88046 |      87746 |      87222 |      87953 |      87781 |      87680 |      88465 |      89027 |      87434 |      87043 |      87239 |      87486 |      88232 |      87994 |      87163
    num cache misses                 |      22794 |      13160 |       7967 |      11888 |      10625 |       9281 |       9948 |      11088 |      13921 |      10075 |      12496 |      11892 |      10149 |      10330 |       9255 |      11198
    miss rate                        |     22.21% |     14.95% |      9.08% |     13.63% |     12.08% |     10.57% |     11.35% |     12.53% |     15.64% |     11.52% |     14.36% |     13.63% |     11.60% |     11.71% |     10.52% |     12.85%
    mpki                             |       0.94 |       0.54 |       0.33 |       0.49 |       0.44 |       0.38 |       0.41 |       0.46 |       0.58 |       0.43 |       0.53 |       0.51 |       0.43 |       0.44 |       0.40 |       0.48
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      23260 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      23240 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     577.93 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     581.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     516.68 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     520.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       6674 |         30 |         31 |         21 |         23 |         18 |         20 |         16 |         21 |         15 |         31 |         34 |         63 |         65 |         76 |        111
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8090 |       9847 |       4788 |       8675 |       7514 |       6202 |       6965 |       7971 |      10235 |       6577 |       9031 |       8346 |       6722 |       6082 |       5849 |       7989
