                                     | Core 0     | Core 1    
  Instructions                       |  290045439 |  285434189
  Cycles                             |  357780800 |  357780800
  IPC                                |       0.81 |       0.80
  Time (ns)                          |  357780800 |  357780800
  Idle time (ns)                     |       1197 |    1938399
  Idle time (%)                      |       0.0% |       0.5%
Branch predictor stats               |            |           
  num correct                        |   23705752 |   22245038
  num incorrect                      |      10352 |       6825
  misprediction rate                 |      0.04% |      0.03%
  mpki                               |       0.04 |       0.02
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   41268103 |   41255981
    num misses                       |        118 |         24
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  106323828 |  105451898
    num misses                       |    5155706 |    5130161
    miss rate                        |      4.85% |      4.86%
    mpki                             |      17.78 |      17.97
  L2 TLB                             |            |           
    num accesses                     |    5155824 |    5130185
    num misses                       |    2099931 |    2090229
    miss rate                        |     40.73% |     40.74%
    mpki                             |       7.24 |       7.32
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   41268103 |   41255981
    num cache misses                 |       7248 |       3336
    miss rate                        |      0.02% |      0.01%
    mpki                             |       0.02 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |  106323828 |  105451898
    num cache misses                 |    5586780 |    5574399
    miss rate                        |      5.25% |      5.29%
    mpki                             |      19.26 |      19.53
  Cache L2                           |            |           
    num cache accesses               |    5759648 |    5741753
    num cache misses                 |    1862200 |    1846516
    miss rate                        |     32.33% |     32.16%
    mpki                             |       6.42 |       6.47
  Cache L3                           |            |           
    num cache accesses               |    2027829 |    2010533
    num cache misses                 |    1512724 |    1497462
    miss rate                        |     74.60% |     74.48%
    mpki                             |       5.22 |       5.25
DRAM summary                         |            |           
  num dram accesses                  |    3972475 |          0
  average dram access latency (ns)   |     501.58 |        inf
  average dram queueing delay        |     440.33 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |    1051350 |    1022230
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
