                                     | Core 0     | Core 1    
  Instructions                       |   24851930 |    5975635
  Cycles                             |   20692400 |   20692400
  IPC                                |       1.20 |       0.29
  Time (ns)                          |    5173100 |    5173100
  Idle time (ns)                     |       1435 |    3468661
  Idle time (%)                      |       0.0% |      67.1%
Branch predictor stats               |            |           
  num correct                        |    3125036 |    1363036
  num incorrect                      |     203710 |      67047
  misprediction rate                 |      6.12% |      4.69%
  mpki                               |       8.20 |      11.22
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3168224 |     569896
    num misses                       |        170 |         28
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6204279 |    1852823
    num misses                       |       5158 |       3541
    miss rate                        |      0.08% |      0.19%
    mpki                             |       0.21 |       0.59
  L2 TLB                             |            |           
    num accesses                     |       5328 |       3569
    num misses                       |        681 |        262
    miss rate                        |     12.78% |      7.34%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3168224 |     569896
    num cache misses                 |       2843 |        202
    miss rate                        |      0.09% |      0.04%
    mpki                             |       0.11 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    6204279 |    1852823
    num cache misses                 |     100280 |      74962
    miss rate                        |      1.62% |      4.05%
    mpki                             |       4.04 |      12.54
  Cache L2                           |            |           
    num cache accesses               |     105273 |      75165
    num cache misses                 |      71788 |      56482
    miss rate                        |     68.19% |     75.14%
    mpki                             |       2.89 |       9.45
  Cache L3                           |            |           
    num cache accesses               |      74060 |      56529
    num cache misses                 |      20716 |       4069
    miss rate                        |     27.97% |      7.20%
    mpki                             |       0.83 |       0.68
DRAM summary                         |            |           
  num dram accesses                  |      24763 |          0
  average dram access latency (ns)   |      61.93 |        inf
  average dram queueing delay        |       0.68 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11871 |       1844
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
