                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2523387892 |  2529361786 |  2547613618 |  2554430043 |  2546168206 |  2554172760 |  2536852799 |  2530031081
  Cycles                             |   847837330 |   847837330 |   847837330 |   847837330 |   847837330 |   847837330 |   847837330 |   847837330
  IPC                                |        2.98 |        2.98 |        3.00 |        3.01 |        3.00 |        3.01 |        2.99 |        2.98
  Time (ns)                          |   292357700 |   292357700 |   292357700 |   292357700 |   292357700 |   292357700 |   292357700 |   292357700
  Idle time (ns)                     |         204 |      258807 |      260335 |      261694 |      263006 |      264309 |      265647 |      266936
  Idle time (%)                      |        0.0% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    12178348 |    14672060 |    24411024 |    26683039 |    23928953 |    26596864 |   291423523 |   289149612
  num incorrect                      |       55239 |       45417 |       40646 |       40921 |       40249 |       40293 |       32429 |       32431
  misprediction rate                 |       0.45% |       0.31% |       0.17% |       0.15% |       0.17% |       0.15% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   237288458 |   236970771 |   235978558 |   235978558 |   235978558 |   235978570 |   158651336 |   158651336
    num misses                       |         271 |          38 |          38 |          38 |          38 |          38 |          38 |          38
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1160395210 |  1160504921 |  1160108757 |  1161244567 |  1159868952 |  1161203435 |   917324872 |   916187922
    num misses                       |     1415030 |     1425451 |     1396563 |     1382884 |     1330717 |     1350365 |      951566 |      939913
    miss rate                        |       0.12% |       0.12% |       0.12% |       0.12% |       0.11% |       0.12% |       0.10% |       0.10%
    mpki                             |        0.56 |        0.56 |        0.55 |        0.54 |        0.52 |        0.53 |        0.38 |        0.37
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1415301 |     1425489 |     1396601 |     1382922 |     1330755 |     1350403 |      951604 |      939951
    num misses                       |       36553 |       40116 |       36280 |       33150 |       30132 |       31647 |       24302 |       23103
    miss rate                        |       2.58% |       2.81% |       2.60% |       2.40% |       2.26% |       2.34% |       2.55% |       2.46%
    mpki                             |        0.01 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   237288458 |   236970771 |   235978558 |   235978558 |   235978558 |   235978570 |   158651336 |   158651336
    num cache misses                 |      249201 |      188967 |      188681 |      188565 |      188913 |      188965 |      187361 |      187362
    miss rate                        |       0.11% |       0.08% |       0.08% |       0.08% |       0.08% |       0.08% |       0.12% |       0.12%
    mpki                             |        0.10 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1160395210 |  1160504921 |  1160108757 |  1161244567 |  1159868952 |  1161203435 |   917324872 |   916187922
    num cache misses                 |     8103572 |     8116507 |     7647315 |     7653551 |     7710649 |     7621996 |     5778585 |     5677800
    miss rate                        |       0.70% |       0.70% |       0.66% |       0.66% |       0.66% |       0.66% |       0.63% |       0.62%
    mpki                             |        3.21 |        3.21 |        3.00 |        3.00 |        3.03 |        2.98 |        2.28 |        2.24
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     8747146 |     8754750 |     8284901 |     8301360 |     8228654 |     8279013 |     6386166 |     6197583
    num cache misses                 |     1260760 |     1246177 |     1142486 |     1012374 |     1152387 |     1163915 |      888643 |      955695
    miss rate                        |      14.41% |      14.23% |      13.79% |      12.20% |      14.00% |      14.06% |      13.92% |      15.42%
    mpki                             |        0.50 |        0.49 |        0.45 |        0.40 |        0.45 |        0.46 |        0.35 |        0.38
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1887936 |     2050203 |     1947244 |     1827672 |     1800149 |     1984404 |     1724616 |     1563517
    num cache misses                 |      427503 |      318194 |      318516 |      702869 |      561438 |      386554 |      261901 |      372664
    miss rate                        |      22.64% |      15.52% |      16.36% |      38.46% |      31.19% |      19.48% |      15.19% |      23.83%
    mpki                             |        0.17 |        0.13 |        0.13 |        0.28 |        0.22 |        0.15 |        0.10 |        0.15
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       26775 |           0 |           0 |           0 |       26747 |           0 |           0 |           0
  average dram access latency (ns)   |      505.25 |         inf |         inf |         inf |      505.73 |         inf |         inf |         inf
  average dram queueing delay        |      444.00 |        0.00 |        0.00 |        0.00 |      444.48 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        6826 |         199 |         191 |         193 |           4 |         191 |         199 |          33
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      372511 |      312808 |      313163 |      696724 |      508754 |      379595 |      255101 |      330643
